Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
1.1905948886649134,0.7296648204998462,0.21551719032037406,0.2927717590290264,2.5884383334245253,1.045265587570778,2.5884383334245253,2.5884383334245253,2.992790980723346,2020-03-13
0.7441878170109799,0.5745359365278062,0.06655179808803388,0.10452928263209267,1.8647327536630967,0.603206060745965,1.8647327536630967,1.8647327536630967,2.2208477285556665,2020-03-14
0.818640604550969,0.6417323445866837,0.07281170821283876,0.1136782974787929,2.0737850373337814,0.6588762801587152,2.0737850373337814,2.0737850373337814,2.4744661447334924,2020-03-15
0.9573791641766043,0.7594391690703074,0.08429395220261182,0.1323056895458831,2.431531150435002,0.7647811882863549,2.431531150435002,2.431531150435002,2.9194428704011184,2020-03-16
1.7868463489285988,1.1392757035947039,0.31308032771444516,0.42299333264683664,3.9736579007966615,1.5434799575840916,3.9736579007966615,3.9736579007966615,4.633532658896687,2020-03-17
1.916426598571208,1.1845033711628292,0.345964991411218,0.46727202492405306,4.182274688489006,1.6764989149318414,4.182274688489006,4.182274688489006,4.847982624917457,2020-03-18
21.21929672697527,4.074534748682169,14.09496903362144,15.070987615262453,28.38753813838241,20.919048802175013,28.38753813838241,28.38753813838241,30.021585876646217,2020-03-19
11.307622097230212,6.574540945907183,3.0407258608359933,3.4911573231808704,24.045941915626113,9.756354378557958,24.045941915626113,24.045941915626113,26.47542182345697,2020-03-20
6.0522995733685105,4.12612452207733,2.1779942487857586,2.3803918819837215,14.725040828920386,4.688713715906518,14.725040828920386,14.725040828920386,17.940214637791797,2020-03-21
3.8390300222736484,1.8162493075141637,1.8715333891768609,2.016204186070871,7.531079674319709,3.3161763904473363,7.531079674319709,7.531079674319709,8.871185463796955,2020-03-22
3.1942981673331694,1.0301080401599088,1.872625249766434,1.9908193418375726,5.261327157657094,2.948538251143978,5.261327157657094,5.261327157657094,5.8636230829201414,2020-03-23
2.72847550042672,0.6864048829218369,1.7402478332452458,1.8391606183694866,4.057414343980396,2.598440875987587,4.057414343980396,4.057414343980396,4.369021053623649,2020-03-24
2.28761929209187,0.4941246532679924,1.538085734653897,1.6168779636056279,3.2164479778459434,2.2091928300975745,3.2164479778459434,3.2164479778459434,3.4209538558722477,2020-03-25
1.6654596312408385,0.32019997819611823,1.1578529918539349,1.2158993233182662,2.255776604614726,1.6217197356564443,2.255776604614726,2.255776604614726,2.3826592547944125,2020-03-26
1.5623625993531216,0.24203613649948927,1.1606667764019019,1.2106312904704255,2.0005318828856344,1.5354400564056634,2.0005318828856344,2.0005318828856344,2.095760343521709,2020-03-27
1.4548724257452004,0.1936887111911184,1.1159218851721213,1.1619985897454637,1.79642520436922,1.4408119680196778,1.79642520436922,1.79642520436922,1.8705699886824536,2020-03-28
1.6091774771904612,0.18528935966237944,1.2760083884401796,1.3234341529812097,1.931602057966135,1.5983247516880639,1.931602057966135,1.931602057966135,2.0000843902330354,2020-03-29
1.568091705998596,0.17651524564109883,1.2497844905237696,1.2944581505435786,1.874115162746552,1.5585234443181748,1.874115162746552,1.874115162746552,1.9380349665512793,2020-03-30
1.7122169327647754,0.1830281890374368,1.3833000307843921,1.4281508452927951,2.0276597511856327,1.7027282795159049,2.0276597511856327,2.0276597511856327,2.092202754143841,2020-03-31
1.8076703525115838,0.1950439764513382,1.4563946606003582,1.5040945743291594,2.1442514826199313,1.7976250506572984,2.1442514826199313,2.1442514826199313,2.2092584654560126,2020-04-01
1.5993900789692632,0.18726219863011945,1.2685768881444037,1.3116898535569452,1.923731017067047,1.5880985073065106,1.923731017067047,1.923731017067047,1.9854885543916065,2020-04-02
1.4530473228182774,0.16405301049669163,1.168643262599484,1.2056934888165742,1.7425745231971579,1.4405758687813952,1.7425745231971579,1.7425745231971579,1.8003642254734253,2020-04-03
1.6135782640842364,0.15708377640962157,1.338596799924577,1.3749326474193029,1.8896283256733504,1.6021710944883791,1.8896283256733504,1.8896283256733504,1.9450476346548122,2020-04-04
1.7565776869085317,0.16232591479023928,1.4677100982881746,1.5062741157736923,2.036922783792584,1.7473523035097873,2.036922783792584,2.036922783792584,2.0909379501939065,2020-04-05
1.6096193607228029,0.16228477271140876,1.3196065853198637,1.3574511726556069,1.887182255498545,1.6015537896849872,1.887182255498545,1.887182255498545,1.9376793499337608,2020-04-06
1.3654535117116882,0.13961593081415194,1.123252091721845,1.153741892107831,1.609683599855758,1.3549489265114798,1.609683599855758,1.609683599855758,1.6549105066963645,2020-04-07
1.2873366560859667,0.11511153963799504,1.0856301230797907,1.112873724621438,1.489499534019212,1.2787444599026947,1.489499534019212,1.489499534019212,1.5291100505476962,2020-04-08
1.3981194355165771,0.10496749661924709,1.2076722196923806,1.2348007725426844,1.5799946781012966,1.3926857912341755,1.5799946781012966,1.5799946781012966,1.6162166821972104,2020-04-09
1.4387874357940431,0.10250849796899512,1.2506590688892676,1.2775578656331783,1.6145572554500953,1.4344414080461898,1.6145572554500953,1.6145572554500953,1.6488040818960703,2020-04-10
1.2545611944922777,0.09464269870524145,1.0807184257287525,1.1054536987841448,1.4157816794198859,1.2509380617239243,1.4157816794198859,1.4157816794198859,1.4465999276163746,2020-04-11
1.0569294008239387,0.07813013798315627,0.9132234648989029,0.9339442777913424,1.1905165235713304,1.0537375576527825,1.1905165235713304,1.1905165235713304,1.2173021314335561,2020-04-12
1.0955974521579892,0.07149443995428953,0.9606814113161681,0.9807135184582653,1.2162084076438948,1.09390675420812,1.2162084076438948,1.2162084076438948,1.240372715274406,2020-04-13
1.1125765680900142,0.06852116882523575,0.9828651171605866,1.0024817010042784,1.2275980881289874,1.1110818559952071,1.2275980881289874,1.2275980881289874,1.2512378131774082,2020-04-14
