Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
5.876830441638101,2.9317243050837236,2.1805320250146316,2.4782907447169196,11.653974456775062,5.201580356340487,11.653974456775062,11.653974456775062,13.451024585638525,2020-03-20
4.803241109028307,2.0839552700557498,2.0917301714643877,2.330358137218143,8.882272914837145,4.342447968524734,8.882272914837145,8.882272914837145,10.134060716052904,2020-03-21
3.2614819843055947,1.2400681298563914,1.5381270638928068,1.702501263073279,5.64836540708618,3.020140484977926,5.64836540708618,5.64836540708618,6.323047639160816,2020-03-22
2.5264164139756224,0.8069814266457233,1.3335729441081898,1.460655738060625,4.050984177280485,2.39318504481482,4.050984177280485,4.050984177280485,4.451317825402944,2020-03-23
2.033527216721959,0.553502485025424,1.1592464011543708,1.2616827743187748,3.053345897132663,1.9609959073473469,3.053345897132663,3.053345897132663,3.3063436407817783,2020-03-24
1.6724916560645176,0.4095020839811196,0.9962019548890925,1.0792629084724694,2.4123911916468703,1.6291957029587563,2.4123911916468703,2.4123911916468703,2.5882830223781927,2020-03-25
1.835457547300764,0.38175203208529174,1.180025699044565,1.266326178589527,2.5151953231381463,1.8037615198081296,2.5151953231381463,2.5151953231381463,2.669735873003312,2020-03-26
2.015286194274999,0.37302772897942754,1.3631329896559847,1.452232936367427,2.6711332937178573,1.9883064494399876,2.6711332937178573,2.6711332937178573,2.8181101788540674,2020-03-27
1.846278026917326,0.34544011026600907,1.241381766606624,1.322700905294007,2.4532841850410687,1.820996149793849,2.4532841850410687,2.4532841850410687,2.589167715389766,2020-03-28
1.6447677925663744,0.30619626977041065,1.110889793554726,1.181844945019094,2.1829521313845985,1.62204493397986,2.1829521313845985,2.1829521313845985,2.304098726166061,2020-03-29
1.491641954803245,0.26686223716870866,1.0248559159490835,1.0877336638647415,1.9623566598105928,1.4727347174070224,1.9623566598105928,1.9623566598105928,2.0661896537740185,2020-03-30
1.3491647809801206,0.23198833320062875,0.9405037562725308,0.9957582590837539,1.7553122490002824,1.333862376367985,1.7553122490002824,1.7553122490002824,1.8457367198673582,2020-03-31
1.3742107414823945,0.2190828534829366,0.9821764962510279,1.0367312023158533,1.7540736616015085,1.3617660304954728,1.7540736616015085,1.7540736616015085,1.838664271618268,2020-04-01
1.0501392003308403,0.18144545305585588,0.7265786222685473,0.7714594939208393,1.3646846752300497,1.0387653078008496,1.3646846752300497,1.3646846752300497,1.4354348181274779,2020-04-02
1.1507495490187123,0.18382032346292973,0.8197886618460398,0.8663833048937489,1.4694950971777792,1.1403126927181404,1.4694950971777792,1.4694950971777792,1.5401630652405165,2020-04-03
1.3462096169284439,0.19655107651043163,0.9897925464175489,1.0401634564840043,1.685458745752075,1.3359522868983482,1.685458745752075,1.685458745752075,1.7578800477254064,2020-04-04
1.5580322555717017,0.20666959807690402,1.1811948480159045,1.2344995535837426,1.9132361761064776,1.548624893338093,1.9132361761064776,1.9132361761064776,1.988643970800815,2020-04-05
1.4794415603907036,0.20422186434758424,1.1070421471537133,1.1612092619968666,1.8303542053257542,1.4696973369117377,1.8303542053257542,1.8303542053257542,1.9052641811686237,2020-04-06
1.5918826336736005,0.2121143088670406,1.2082211896785544,1.2622591308438598,1.9576567571863621,1.581502548161164,1.9576567571863621,1.9576567571863621,2.036274568072708,2020-04-07
1.851789699400736,0.23108867113534828,1.4321666074849047,1.4923985852565929,2.2509687623655585,1.8405764758240029,2.2509687623655585,2.2509687623655585,2.333653266297573,2020-04-08
2.0029130820840972,0.255906159803769,1.541255104034436,1.60377505201243,2.442999165704674,1.9912596921295882,2.442999165704674,2.442999165704674,2.5305765072674733,2020-04-09
1.6873126420758993,0.23988082197429847,1.262209047257977,1.317952309644242,2.101763666120212,1.6741121629856082,2.101763666120212,2.101763666120212,2.186845103784317,2020-04-10
1.5132535021780256,0.20750833312499625,1.1558078109367966,1.2017736075407186,1.8793760807063427,1.497113584263556,1.8793760807063427,1.8793760807063427,1.9552430726002263,2020-04-11
1.4563624808302813,0.17542130152450153,1.146565518972779,1.1882456004635547,1.762984680859383,1.4449402702966263,1.762984680859383,1.762984680859383,1.8282451869468677,2020-04-12
1.3274905882761743,0.14771287633040442,1.0602340056570942,1.0986054291074325,1.5833370204834145,1.3198804395522132,1.5833370204834145,1.5833370204834145,1.6369214958637512,2020-04-13
1.6243833791538504,0.15310949143325916,1.3430692575182108,1.3839903275902508,1.887040577615043,1.6180363609670056,1.887040577615043,1.887040577615043,1.9401147576558853,2020-04-14
1.444030404344386,0.14351649123695695,1.1787154381581257,1.2170748101256093,1.687895714103506,1.4391513115320191,1.687895714103506,1.687895714103506,1.7378412576908968,2020-04-15
