Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
2.3952797195259525,0.7994991952675911,1.181011642069622,1.3141994629310878,3.8812625870872246,2.2754649491377275,3.8812625870872246,3.8812625870872246,4.27299223217605,2020-03-28
2.0031962137274957,0.599795647916742,1.0561861594688424,1.1660577119096436,3.1050720458007266,1.9254162296096315,3.1050720458007266,3.1050720458007266,3.388811731593042,2020-03-29
2.4191608848409247,0.5802999807096779,1.451662252135815,1.5732152164327684,3.461843928476161,2.3622622252271146,3.461843928476161,3.461843928476161,3.7152481671272413,2020-03-30
2.194595394314363,0.5108951419878895,1.3364671849848042,1.4433018640401651,3.110744959421585,2.1464678314614396,3.110744959421585,3.110744959421585,3.324257023867858,2020-03-31
3.369341280226133,0.6396751649985476,2.2788458025351837,2.417354883544094,4.506679924511284,3.314398627055752,4.506679924511284,4.506679924511284,4.7606727337819175,2020-04-01
3.623068851255329,0.7544344626702508,2.3334841339108237,2.486888490171029,4.949352917433673,3.5680795535386975,4.949352917433673,4.949352917433673,5.216593185077029,2020-04-02
2.9530455806377764,0.7132808335765388,1.8197334312520912,1.9369930539779274,4.254975216320347,2.8706769383379247,4.254975216320347,4.254975216320347,4.518970600960234,2020-04-03
2.383557729000748,0.5544461673243724,1.5430301378413196,1.6293906279311434,3.424950213388203,2.3000908513561047,3.424950213388203,3.424950213388203,3.6591953458392132,2020-04-04
2.0102297330192345,0.3978007195357993,1.3905844826977398,1.4599995650780861,2.749518061332782,1.9534294938098051,2.749518061332782,2.749518061332782,2.9185139391196375,2020-04-05
2.2621105240925434,0.3565022126237557,1.6837340379059669,1.752145583352101,2.9115832328211413,2.21897784557188,2.9115832328211413,2.9115832328211413,3.0500244198842794,2020-04-06
2.4027162203312673,0.34833254768472455,1.811320792996339,1.88318083352494,3.017488270888698,2.3730984554729617,3.017488270888698,3.017488270888698,3.1356822241655773,2020-04-07
2.474079877121685,0.368697015075742,1.8455086232986344,1.9173385795478946,3.1148830335430833,2.4473712858603167,3.1148830335430833,3.1148830335430833,3.2296496432295134,2020-04-08
2.2650681141306563,0.3555670878769812,1.6722262363660336,1.7383943063833431,2.8903831389015906,2.234325917679141,2.8903831389015906,2.8903831389015906,3.0019462707294085,2020-04-09
1.9307668802132802,0.2951461607369378,1.4515280328524076,1.5037506202486581,2.458583229924283,1.8993349441639755,2.458583229924283,2.458583229924283,2.5568018866172966,2020-04-10
1.946806406376626,0.25793263387759013,1.531880837405555,1.5763714927675938,2.412080231812532,1.9159083136008217,2.412080231812532,2.412080231812532,2.4977449139077623,2020-04-11
1.9545668185026843,0.23188249252738247,1.5691421140855644,1.6134850568136692,2.3633439851161593,1.9317566952600238,2.3633439851161593,2.3633439851161593,2.437512735161338,2020-04-12
1.7239563469494537,0.19929075551400519,1.3860566734035362,1.4249708978296254,2.070604842082254,1.7078395355318317,2.070604842082254,2.070604842082254,2.1294941977527597,2020-04-13
1.4670195542093534,0.1568071082296995,1.2022463365800227,1.233349478746057,1.741098872786261,1.453359786098746,1.741098872786261,1.741098872786261,1.7908273800480166,2020-04-14
1.7148963518516775,0.149493580382094,1.4597627217535682,1.491656551264209,1.9768167925063296,1.7016905880455448,1.9768167925063296,1.9768167925063296,2.022707516042783,2020-04-15
1.6219072832822552,0.13806347168203714,1.3775763190337442,1.408152017558901,1.857369057229452,1.6143804731910163,1.857369057229452,1.857369057229452,1.8977052816447815,2020-04-16
1.7265567703271887,0.14513744927331787,1.4713419940533181,1.502186727785057,1.972777524368244,1.718451421529458,1.972777524368244,1.972777524368244,2.013327382325411,2020-04-17
2.119330535693781,0.17924141017224343,1.8043983348940325,1.8414035555764974,2.41937527752088,2.110849027197038,2.41937527752088,2.41937527752088,2.46619783764107,2020-04-18
2.1163211396381563,0.2224265337179122,1.7126045220206774,1.7607218696096119,2.480614848277006,2.113767116512851,2.480614848277006,2.480614848277006,2.5315612742613656,2020-04-19
1.9306292953080766,0.23253272293386876,1.5390758435143777,1.578432252100833,2.3296242944693146,1.9188441309876265,2.3296242944693146,2.3296242944693146,2.3882930599395458,2020-04-20
1.7159346286576418,0.19972537693772408,1.3979142072853732,1.4282977195287982,2.0723733340451536,1.6960884242578755,2.0723733340451536,2.0723733340451536,2.130075530607112,2020-04-21
1.5769736083035053,0.1581734036501659,1.3292635731775735,1.3524560989771222,1.8590381998410253,1.5569424472014557,1.8590381998410253,1.8590381998410253,1.9064374100316575,2020-04-22
1.525519592507254,0.12733219408047564,1.321436427210996,1.3419063273107614,1.7489889233913403,1.5100516880192685,1.7489889233913403,1.7489889233913403,1.784108850951565,2020-04-23
1.4945986559114945,0.1082108606628273,1.315178539677804,1.3343352192352504,1.680139474902054,1.4837778568388658,1.680139474902054,1.680139474902054,1.7081342084178377,2020-04-24
1.2547611428394918,0.08420559508067318,1.1107537932202192,1.1274226311380409,1.3975552073003887,1.2483335831065294,1.3975552073003887,1.3975552073003887,1.4189949544443312,2020-04-25
1.1151109204813192,0.06317170346234481,1.0044791723097537,1.0185063458910815,1.2233249126123593,1.1107664018832444,1.2233249126123593,1.2233249126123593,1.2410272792962942,2020-04-26
1.1427785229261715,0.05283208590358665,1.0439544953560964,1.0580451183084003,1.2317539505098811,1.1414463497735203,1.2317539505098811,1.2317539505098811,1.2476137825139515,2020-04-27
1.1501845449974946,0.047179324297552984,1.062088438695274,1.0751078151195226,1.2303089811291736,1.1486780725122174,1.2303089811291736,1.2303089811291736,1.246133706933629,2020-04-28
1.1833623142764205,0.04395179035261484,1.1020771779357579,1.113861040625599,1.258546851829634,1.181708036146766,1.258546851829634,1.258546851829634,1.273679399332984,2020-04-29
1.3690019354658598,0.04617457236277597,1.2830571445737646,1.295905733340887,1.447482791123592,1.3674086926871705,1.447482791123592,1.447482791123592,1.463038225591494,2020-04-30
1.4142400028864266,0.05621905427143325,1.3035824916652539,1.3197749093392677,1.5042668602897238,1.4155904516914275,1.5042668602897238,1.5042668602897238,1.51951531379076,2020-05-01
1.4458870156434263,0.0726652837358798,1.3086056647738795,1.3263833957158728,1.5617517839167379,1.447370488591233,1.5617517839167379,1.5617517839167379,1.5791000004531255,2020-05-02
1.4324101031138405,0.08188652863334145,1.2857660626122271,1.303147026443472,1.5679413154787765,1.430774510739289,1.5679413154787765,1.5679413154787765,1.588805157168269,2020-05-03
1.322848803705359,0.07831926882029518,1.1873929879310752,1.2027579851509351,1.4554437347853313,1.3190520052431032,1.4554437347853313,1.4554437347853313,1.476460215735516,2020-05-04
1.3564044049136832,0.07205089252310669,1.2354526903987793,1.2488005522364567,1.4808871310912073,1.3503663576747142,1.4808871310912073,1.4808871310912073,1.5009942061136143,2020-05-05
1.4095556702771463,0.06899919866736182,1.2908574984143453,1.3045125352424356,1.5263955786759507,1.4048080562738468,1.5263955786759507,1.5263955786759507,1.543892208889595,2020-05-06
1.2978934508682873,0.0658734008672919,1.1811750554784006,1.1948732753052207,1.406856588698615,1.2950348082671908,1.406856588698615,1.406856588698615,1.4224124004753749,2020-05-07
1.3272370904603834,0.06281387218841503,1.2191794916755478,1.2312887153118148,1.4327515292975526,1.3230311119445952,1.4327515292975526,1.4327515292975526,1.4481220200239884,2020-05-08
1.5376526207298173,0.06773663571343974,1.420434652325032,1.4335402820046443,1.6505366479943262,1.5333824104274587,1.6505366479943262,1.6505366479943262,1.6666873702002774,2020-05-09
