Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
2.4734324953379603,0.9329019024258434,1.092256718787062,1.2387249193210155,4.220881646626605,2.330015350047458,4.220881646626605,4.220881646626605,4.71538287180304,2020-03-27
2.068081785446152,0.6807300278057306,1.0063076350515585,1.136281717136896,3.3121061829586727,1.972871392491516,3.3121061829586727,3.3121061829586727,3.631320265985532,2020-03-28
2.107412366278676,0.5994293035495369,1.1503431011412066,1.260805990901306,3.2131348096061583,2.0326293920773573,3.2131348096061583,3.2131348096061583,3.4867759943991863,2020-03-29
2.015758450599899,0.5261704623409446,1.1381916309653126,1.2548824753809182,2.9556922337546725,1.9631359296778021,2.9556922337546725,2.9556922337546725,3.1958743540940477,2020-03-30
1.907259834292585,0.4706100904384185,1.1172316552971053,1.213923405087049,2.7416963330087576,1.8617966354975746,2.7416963330087576,2.7416963330087576,2.93761944808636,2020-03-31
1.735028509841691,0.4129715810429298,1.0278118242718328,1.1261593226225959,2.472171299651215,1.6986436148048374,2.472171299651215,2.472171299651215,2.63418481768349,2020-04-01
1.969293000628581,0.4098355336852923,1.26321601241734,1.3526984288890649,2.6994229285759963,1.938494148513871,2.6994229285759963,2.6994229285759963,2.869800539538017,2020-04-02
2.224680195959396,0.42788947212542466,1.483855753761543,1.5826611070463497,2.971265357089423,2.193884511801657,2.971265357089423,2.971265357089423,3.1492370011194804,2020-04-03
2.427166343048922,0.4483586837764366,1.646824225095933,1.7479917201406878,3.203503177794891,2.39999533999684,3.203503177794891,3.203503177794891,3.394947885522926,2020-04-04
2.035416775826135,0.40513714715895843,1.3530724144036075,1.4370882611825446,2.753281665879063,2.0064957321929953,2.753281665879063,2.753281665879063,2.8996333227701516,2020-04-05
2.202707687719602,0.3992783187407018,1.5347499275111258,1.6106526635060803,2.903267916130016,2.1673681249387644,2.903267916130016,2.903267916130016,3.062873671511346,2020-04-06
1.6821494320949377,0.30917979159365466,1.1597526343349118,1.225195532648067,2.229333256844601,1.6570604182457347,2.229333256844601,2.229333256844601,2.3506652166465134,2020-04-07
1.7100268105916596,0.2698517397562728,1.2428689801870005,1.3024527076592671,2.1796140247442874,1.6886367859253202,2.1796140247442874,2.1796140247442874,2.274568222642214,2020-04-08
1.7175447906083023,0.2428011425914104,1.2905598515075496,1.3456173456093303,2.1439145122069774,1.6989730933108165,2.1439145122069774,2.1439145122069774,2.2358929391248212,2020-04-09
1.4343445040774385,0.20482241333595494,1.0699612060193444,1.119097695290448,1.7901156310195365,1.42142171213222,1.7901156310195365,1.7901156310195365,1.8698548855572534,2020-04-10
1.2398342698801788,0.17059699259905056,0.9368213634998709,0.9748546612492401,1.536811702929361,1.2313933994382857,1.536811702929361,1.536811702929361,1.5981661090195347,2020-04-11
1.125258981890919,0.149257246976341,0.85999539976019,0.8966567530317446,1.3813951483564026,1.1158162273513665,1.3813951483564026,1.3813951483564026,1.4380825237286505,2020-04-12
0.9972046661711856,0.13295251516110654,0.757884263448193,0.7894337221074693,1.2244342499687855,0.9917788084049886,1.2244342499687855,1.2244342499687855,1.2688697403305167,2020-04-13
1.0177898837684909,0.13420391531107628,0.7737876919761552,0.8077351262625037,1.2503990545234378,1.0110192757226502,1.2503990545234378,1.2503990545234378,1.2988750434831244,2020-04-14
1.0313484044224566,0.1333695912910275,0.7857368282900388,0.8213862652312409,1.2600675032612227,1.0252729819766633,1.2600675032612227,1.2600675032612227,1.3063130039662534,2020-04-15
0.8150863376388376,0.11820310291385477,0.5984128435416387,0.6279921161540427,1.017621785501048,0.80981378665095,1.017621785501048,1.017621785501048,1.0635624239583297,2020-04-16
0.865600854347531,0.12279050980100156,0.6439495665310051,0.675849690371452,1.0775650505451295,0.8591603351872275,1.0775650505451295,1.0775650505451295,1.1253726487516558,2020-04-17
0.894240641252068,0.12893327346388253,0.6617216575411384,0.6910879863823435,1.111546868025614,0.8877784877453729,1.111546868025614,1.111546868025614,1.1574014297818838,2020-04-18
0.9389588473730954,0.1321168895223728,0.6994754753513618,0.730999913264035,1.1636251836574893,0.9331943010202288,1.1636251836574893,1.1636251836574893,1.2115745781620013,2020-04-19
0.8876592634217925,0.12915255498571246,0.6551686464819378,0.6898965495318784,1.1109381122827717,0.8809244988464062,1.1109381122827717,1.1109381122827717,1.1578605895970853,2020-04-20
0.8375704372497577,0.12757681714208371,0.6055142651685322,0.6386323022929968,1.058983590325559,0.8303528464591909,1.058983590325559,1.058983590325559,1.1049781386321305,2020-04-21
0.6519237015355783,0.1139585020856685,0.45048810040260334,0.47618114932147315,0.8497312616061296,0.6443095295193352,0.8497312616061296,0.8497312616061296,0.8965396185097806,2020-04-22
1.3653703037463734,0.18153082398336445,1.0385144990280881,1.0844015966193747,1.6803486072529403,1.3563373387073854,1.6803486072529403,1.6803486072529403,1.7492052294002833,2020-04-23
1.6366448703308203,0.18654254611143845,1.2940846965057249,1.3423437826043816,1.9512831758939746,1.6280882051739884,1.9512831758939746,1.9512831758939746,2.0122916433203906,2020-04-24
1.4867353884896508,0.1965238582994236,1.1282902114818751,1.1783854519495036,1.8245853551703153,1.477235346982019,1.8245853551703153,1.8245853551703153,1.8914827298302948,2020-04-25
1.3665059940618878,0.1908204939191102,1.0289589317172276,1.0736269933548963,1.6972199345168688,1.3558619971057384,1.6972199345168688,1.6972199345168688,1.7666909857866302,2020-04-26
1.2636363346321693,0.16334639517717162,0.9657280239832842,1.0080841364938409,1.5506092817705295,1.2543775508272268,1.5506092817705295,1.5506092817705295,1.6138090619801706,2020-04-27
1.2445611686969882,0.14745170036966565,0.9727334282422363,1.0145576415540645,1.4968501882985066,1.2385863813923492,1.4968501882985066,1.4968501882985066,1.5509539770247498,2020-04-28
1.6054442899879098,0.16146156010593984,1.3067967865060304,1.3502654106546557,1.8785751273385136,1.5989263912192446,1.8785751273385136,1.8785751273385136,1.9395371338700456,2020-04-29
1.0448424823679918,0.1333394838769585,0.7999508425031152,0.8367116228610892,1.2742081719988552,1.0383638753056472,1.2742081719988552,1.2742081719988552,1.3203237672418595,2020-04-30
1.0391791010727436,0.12152067513784193,0.8214671440672274,0.8517230321611483,1.2497583318036798,1.0333526275299085,1.2497583318036798,1.2497583318036798,1.2910201141036648,2020-05-01
1.0726270146339538,0.11666936266098545,0.856909570456737,0.8889835523114263,1.2686720824959121,1.0699612139520225,1.2686720824959121,1.2686720824959121,1.3047857114978023,2020-05-02
1.0961095429284107,0.11812828082342344,0.8794193499609657,0.9115048987891988,1.297167960848488,1.0916798565029222,1.297167960848488,1.297167960848488,1.3422243839066859,2020-05-03
1.0758244896066373,0.11523864928551984,0.8650413687707507,0.8952927047154958,1.2756710604952275,1.071328240283907,1.2756710604952275,1.2756710604952275,1.3169197923280378,2020-05-04
1.2666614773351372,0.12339201090860381,1.0337133105158707,1.0670566771769383,1.4754879662147016,1.2633155195443444,1.4754879662147016,1.4754879662147016,1.519816265222482,2020-05-05
1.0306257634528588,0.11236465734702894,0.8228805870031444,0.8547364427145587,1.2233758385912428,1.025818586120844,1.2233758385912428,1.2233758385912428,1.2664162032655244,2020-05-06
1.3817502978063576,0.12623290515959262,1.1446031159431682,1.179787531646612,1.5940809886865135,1.378042967001868,1.5940809886865135,1.5940809886865135,1.6401275149801668,2020-05-07
1.5120089889044959,0.13624424411133695,1.2566644801590399,1.2929616457730135,1.7437560501131937,1.5092108644645577,1.7437560501131937,1.7437560501131937,1.7906320847251334,2020-05-08
1.7479256342467169,0.16300856480018922,1.437305007000208,1.4846147353534578,2.0213600080255167,1.7462473521511392,2.0213600080255167,2.0213600080255167,2.066066631223408,2020-05-09
1.6711706612322446,0.1824390722229309,1.337231055699766,1.3803174093521924,1.9780835181949317,1.6684725544464836,1.9780835181949317,1.9780835181949317,2.031356045319921,2020-05-10
1.605248796885187,0.178996692909031,1.2862874210222717,1.329943319685911,1.909348280480629,1.5983885270202869,1.909348280480629,1.909348280480629,1.968066748243508,2020-05-11
1.6421189379952186,0.16950272716520076,1.3461943746358798,1.382178365327927,1.9323106886394412,1.6329373347306757,1.9323106886394412,1.9323106886394412,1.9912690852985215,2020-05-12
1.8271549693088447,0.17731955520046513,1.511919387958891,1.5480696806007084,2.1259865656814436,1.8218015899583166,2.1259865656814436,2.1259865656814436,2.1861079407182022,2020-05-13
1.7203674194852425,0.1791088274193572,1.3993860228061998,1.4361550767636282,2.0164339959460644,1.7158811450043254,2.0164339959460644,2.0164339959460644,2.07108112033412,2020-05-14
1.6094074732819614,0.16673053937754634,1.3177605387114595,1.3532160567875378,1.8906941279100766,1.602546742612617,1.8906941279100766,1.8906941279100766,1.9447567771376546,2020-05-15
1.550193275177386,0.1470669722384592,1.29664847190203,1.330516318288645,1.801640615160878,1.540999164835811,1.801640615160878,1.801640615160878,1.8466267797731655,2020-05-16
1.5220697911459202,0.13186969946980595,1.289606829105856,1.3202568450974077,1.749750029945994,1.5129639106045805,1.749750029945994,1.749750029945994,1.7918734527688014,2020-05-17
1.4288870451173754,0.11609987502082156,1.2243294774411806,1.2512888458076352,1.629247292298398,1.42305450407805,1.629247292298398,1.629247292298398,1.6632401129292012,2020-05-18
1.3327892849858867,0.0998834682552615,1.152455308670598,1.176155293579045,1.5031213629989741,1.3275621812297613,1.5031213629989741,1.5031213629989741,1.5343717739809017,2020-05-19
1.2047467641440186,0.08293489946203111,1.0541399109188736,1.0757440776187466,1.3480951633392906,1.2008121304286594,1.3480951633392906,1.3480951633392906,1.3762144899549946,2020-05-20
1.3125442344545108,0.07808879620362924,1.1684610003927662,1.190157524751386,1.4478123388546351,1.3083021568458761,1.4478123388546351,1.4478123388546351,1.4730104048264017,2020-05-21
1.2123207383528913,0.07061206028420271,1.0810004324387221,1.1005900684326482,1.3322944916508133,1.209671674785513,1.3322944916508133,1.3322944916508133,1.3564167028930172,2020-05-22
1.3100127607624097,0.06942201541075617,1.1799181256815832,1.1999469472432427,1.4265119539710263,1.3083248298269234,1.4265119539710263,1.4265119539710263,1.4526595975330396,2020-05-23
1.3919042017128787,0.07403709804997556,1.2515053776723528,1.274008090170667,1.5165650987904944,1.3900135933340898,1.5165650987904944,1.5165650987904944,1.5412866032751973,2020-05-24
1.3105373356316024,0.07742836016710203,1.1644262530731813,1.1836349125149843,1.4384931650765846,1.3092715715023109,1.4384931650765846,1.4384931650765846,1.4632660210039894,2020-05-25
1.380200734609833,0.07956352057770974,1.2329019854935863,1.2545688193687665,1.5151754037733145,1.3783524293963487,1.5151754037733145,1.5151754037733145,1.537792629437959,2020-05-26
1.601568704039367,0.0897072000124914,1.4365064150330786,1.457406696081244,1.7521409079164054,1.5999964395716846,1.7521409079164054,1.7521409079164054,1.7785452367101084,2020-05-27
1.4529598472621938,0.10196078101569984,1.2626011880890986,1.2868831142357702,1.6148286332706616,1.4563121690525842,1.6148286332706616,1.6148286332706616,1.6393290417608157,2020-05-28
1.5023679641755896,0.10471346029068679,1.321116526639621,1.3401003657335055,1.6754414475302288,1.5011190071861957,1.6754414475302288,1.6754414475302288,1.7038397146060995,2020-05-29
1.5693773010934975,0.10746186117730504,1.382368885518985,1.4029274921735664,1.7481570970911813,1.5680799886450003,1.7481570970911813,1.7481570970911813,1.7762127083710486,2020-05-30
1.363537866720234,0.09923866900554938,1.1861498679171236,1.2059757731006884,1.5260913936831901,1.3634644658262836,1.5260913936831901,1.5260913936831901,1.5518682672043742,2020-05-31
1.3476921020995742,0.08573390951650622,1.1983826316878619,1.2160526935965237,1.4945286618406242,1.3425368642881357,1.4945286618406242,1.4945286618406242,1.5160403163816651,2020-06-01
1.3029277031295357,0.07202230164974013,1.1773591933598408,1.1930107372966354,1.4264195517113172,1.2981419772092262,1.4264195517113172,1.4264195517113172,1.4469246696580695,2020-06-02
1.1407255061617974,0.05888935573565374,1.036449668781059,1.049806676449643,1.242276245702717,1.1371895969283996,1.242276245702717,1.242276245702717,1.2592192274214078,2020-06-03
1.3418450491641167,0.055200489932792376,1.243683028661207,1.2569863601873015,1.4366669994936196,1.3377480156163561,1.4366669994936196,1.4366669994936196,1.4568180947083922,2020-06-04
1.4138822415552332,0.05888662744088484,1.306518219723794,1.320394178679002,1.512971165435079,1.4119197102064043,1.512971165435079,1.512971165435079,1.5301238376340558,2020-06-05
1.2467509123123308,0.06414960115772789,1.1264140176760629,1.1426250619749059,1.3499281037734152,1.2484043902518207,1.3499281037734152,1.3499281037734152,1.365897252270502,2020-06-06
1.3068424467892248,0.060844103031453246,1.1981158637927551,1.212416400981063,1.408387574455978,1.304688004308534,1.408387574455978,1.408387574455978,1.4278254770839185,2020-06-07
1.3292672232323637,0.05935432061323768,1.2223778894051491,1.2364705317474365,1.4296007489288718,1.3271674726482612,1.4296007489288718,1.4296007489288718,1.4452402215800446,2020-06-08
1.3076740980445025,0.059781043526074745,1.1982852167862639,1.212213557179202,1.4070114027582632,1.3064182363429504,1.4070114027582632,1.4070114027582632,1.422389943156925,2020-06-09
1.324543788979006,0.06042633097187549,1.2166763415044812,1.2294209039347055,1.4245715552742437,1.3233728367682516,1.4245715552742437,1.4245715552742437,1.4399542326425185,2020-06-10
1.3484404014579179,0.061440756048329354,1.2379485257169804,1.2514035765010547,1.4488958644454917,1.347280177917193,1.4488958644454917,1.4488958644454917,1.465823667100734,2020-06-11
1.2539148638185058,0.059220185239568505,1.1474793342260887,1.1609326475527133,1.351808795020536,1.2529215182818798,1.351808795020536,1.351808795020536,1.3677606995402978,2020-06-12
1.1716625470785604,0.051128392930825814,1.0813442746943003,1.0923075950465537,1.2579717810261415,1.1687637960957193,1.2579717810261415,1.2579717810261415,1.2716102297534653,2020-06-13
1.1936217607133635,0.04331939915207108,1.116808938447614,1.126986303848993,1.2678781769548015,1.1907338750678775,1.2678781769548015,1.2678781769548015,1.2814304279005553,2020-06-14
1.2066362623468452,0.03960727008457738,1.1364115718390422,1.145888930065819,1.2743969902884986,1.2046290240831248,1.2743969902884986,1.2743969902884986,1.286619407978461,2020-06-15
1.1394736031675128,0.03780653909043272,1.069512690231218,1.0799639703822408,1.203005376360905,1.1380454843286891,1.203005376360905,1.203005376360905,1.2141749185475774,2020-06-16
1.3550584771077459,0.040139553088139074,1.280959017976402,1.2921133596349097,1.4231540844434407,1.3534256101680722,1.4231540844434407,1.4231540844434407,1.4349772222242176,2020-06-17
1.2386389938813291,0.04665792194236202,1.1480295130462845,1.1596788001880776,1.3124283326593034,1.2403592697377155,1.3124283326593034,1.3124283326593034,1.3237017197166137,2020-06-18
1.4510924135261716,0.055749399177054855,1.3511941686219548,1.3624823548036389,1.5416754120366514,1.451357553097523,1.5416754120366514,1.5416754120366514,1.5540175453615754,2020-06-19
1.5621481939009494,0.07592887444290576,1.4208563818024873,1.4365398700918748,1.677901890453354,1.5686186268944269,1.677901890453354,1.677901890453354,1.6935813844164906,2020-06-20
1.4992493174395531,0.09617594531732473,1.3269138191087833,1.3436050692267787,1.6457343225220662,1.5081853270532068,1.6457343225220662,1.6457343225220662,1.6675238238682022,2020-06-21
1.4508314006859655,0.09680754487910306,1.28987229681767,1.3039247479102292,1.6073072365161127,1.4520079440684919,1.6073072365161127,1.6073072365161127,1.6286115323491186,2020-06-22
1.4779952251291146,0.09249454291953163,1.3296034400988,1.3405440400430961,1.6299944128801374,1.4750624877900194,1.6299944128801374,1.6299944128801374,1.6537070307102095,2020-06-23
