Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
3.564681323049213,1.1177366232435033,1.7930847371100604,2.0040596859521598,5.615255971238727,3.4221556734062637,5.615255971238727,5.615255971238727,6.131292048906802,2020-03-26
2.5349724865322467,0.8540883175508329,1.200061820848952,1.3495421420951748,4.110938455983066,2.4222012614794686,4.110938455983066,4.110938455983066,4.50981737768304,2020-03-27
2.596485489718232,0.7787311056903159,1.368778537780078,1.5121901911639324,4.030052333886031,2.4946432458136587,4.030052333886031,4.030052333886031,4.390706355974637,2020-03-28
1.9621601099367385,0.5786212207777338,1.0351665568710242,1.1447391335672046,3.021334005188493,1.8922576533288802,3.021334005188493,3.021334005188493,3.287580605065507,2020-03-29
1.8399235351254488,0.4924509881865956,1.031092539223925,1.1304454302643423,2.730464695669531,1.787371656694014,2.730464695669531,2.730464695669531,2.9462927125922644,2020-03-30
2.582694599501937,0.5406540134612102,1.6542442384106935,1.7758026942189178,3.5402877998079005,2.536909560316576,3.5402877998079005,3.5402877998079005,3.76085738445564,2020-03-31
2.6191517930053214,0.5408597723703296,1.6833079723209703,1.8069532854436055,3.5749982658685293,2.5769605279270253,3.5749982658685293,3.5749982658685293,3.788689306753104,2020-04-01
2.11439417766592,0.4741199800505793,1.31834748750004,1.4175073100883675,2.961916389958732,2.0696228815714393,2.961916389958732,2.961916389958732,3.1496008777458786,2020-04-02
1.9338770405048,0.4089509449552153,1.2530912508398688,1.337956608882269,2.671287420644689,1.890976279494135,2.671287420644689,2.671287420644689,2.8365453450757614,2020-04-03
2.738768345018015,0.46071741742842887,1.9566598582962695,2.0563762983574283,3.561777908412782,2.6966056792575244,3.561777908412782,3.561777908412782,3.7417568331906046,2020-04-04
2.415959927750997,0.4380021271407372,1.6555689896674586,1.7506563032732378,3.18086408230097,2.387248130244848,3.18086408230097,3.18086408230097,3.3345220849423365,2020-04-05
2.3042629010053717,0.4267437989872313,1.594958422881581,1.6769774950765188,3.0634581740511084,2.264025450506166,3.0634581740511084,3.0634581740511084,3.2112386992705946,2020-04-06
2.44584955924697,0.4203332445844219,1.7563694145626931,1.83564576906514,3.19693088348596,2.402391514578561,3.19693088348596,3.19693088348596,3.3461692273461185,2020-04-07
2.3739131566219767,0.39696926510400377,1.715814420829824,1.7896089093542233,3.075951826080031,2.337279451765051,3.075951826080031,3.075951826080031,3.2099275017686932,2020-04-08
1.8504349159690643,0.3112295558691653,1.3367006854228758,1.3935914011963302,2.401902439802663,1.8216106604819078,2.401902439802663,2.401902439802663,2.5062143437021294,2020-04-09
1.5232822447672427,0.22754788778167845,1.1469867765995294,1.1915391846405032,1.9302072714996479,1.5003002160261782,1.9302072714996479,1.9302072714996479,2.0118897456935363,2020-04-10
1.5263495664909907,0.18246936444115516,1.2095873440408331,1.250875333079757,1.8479017323148685,1.5122621765524822,1.8479017323148685,1.8479017323148685,1.91371512085447,2020-04-11
