Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
4.498999931641995,2.170684072474019,1.4505499005863625,1.7453638261452435,8.594943199562536,4.106713310894442,8.594943199562536,8.594943199562536,9.800819002353133,2020-03-26
5.651808000848734,2.266312193309839,2.3457182967830854,2.6918456460463682,9.912750013991554,5.269398440953482,9.912750013991554,9.912750013991554,11.100450703091914,2020-03-27
5.771203098059916,2.2445214972721588,2.5454117434416843,2.866973931695815,10.067282682334673,5.367431835746645,10.067282682334673,10.067282682334673,11.18105074121637,2020-03-28
3.679518111523598,1.5424517891299223,1.5760363860731346,1.7704741476660828,6.664983336749614,3.3631489063835396,6.664983336749614,6.664983336749614,7.496484411478189,2020-03-29
2.4815685705790873,0.949079224917439,1.1571338219531364,1.2888155297840276,4.305385442465389,2.297433337637857,4.305385442465389,4.305385442465389,4.84012220516389,2020-03-30
2.0092616148832856,0.6372141443039929,1.0376997980174754,1.147902927579059,3.198206971549986,1.9146137403606733,3.198206971549986,3.198206971549986,3.5161167732634633,2020-03-31
1.9732156638267762,0.5218700791807233,1.120227335742409,1.223817277451632,2.9213572497530675,1.9151796840039497,2.9213572497530675,2.9213572497530675,3.1540083104381247,2020-04-01
1.5978235434455847,0.41252481816906916,0.9081212715872904,0.9940718107598103,2.3384444039482233,1.5573381531423154,2.3384444039482233,2.3384444039482233,2.5176663255365463,2020-04-02
1.7309722354616162,0.3961520371676413,1.0541988471141743,1.1418137609620667,2.435948711079945,1.696824993194873,2.435948711079945,2.435948711079945,2.6030318715891916,2020-04-03
1.409800996301123,0.3332748858015727,0.8392770646054928,0.9127000148967861,2.003268217084952,1.3817356583691078,2.003268217084952,2.003268217084952,2.1397211275122467,2020-04-04
1.4176295620845565,0.3149837986873059,0.8731869525808762,0.9448352060580129,1.974536330963901,1.3922916404790895,1.974536330963901,1.974536330963901,2.104217359307913,2020-04-05
1.3223315110672518,0.29062966947563634,0.8171928272192547,0.8845356098325569,1.8350296464024483,1.300407737509567,1.8350296464024483,1.8350296464024483,1.9512705162280686,2020-04-06
1.1862646336662455,0.2659899244711659,0.7250173833609453,0.7860375868555822,1.6555654547571612,1.1660147533083882,1.6555654547571612,1.6555654547571612,1.762248994339352,2020-04-07
1.2470988396674971,0.2649270860676282,0.7827966904826086,0.8461769867611566,1.7133506506628988,1.2281378697931902,1.7133506506628988,1.7133506506628988,1.8195356167513916,2020-04-08
1.8941115796376196,0.32131798684673357,1.3194813385319364,1.399463200984737,2.4528958881095915,1.875162678522424,2.4528958881095915,2.4528958881095915,2.5771882411722187,2020-04-09
2.515140078212307,0.3783117173910836,1.8300619648405665,1.9265585923512583,3.167326581872301,2.496007710318711,3.167326581872301,3.167326581872301,3.308692275275836,2020-04-10
2.2484364176874303,0.4066401823566221,1.5330946653435655,1.6279493792417032,2.956073126652737,2.2230996289671925,2.956073126652737,2.956073126652737,3.10698667114339,2020-04-11
2.3226525530401214,0.4339478446687714,1.6089121507512982,1.6946150229308734,3.107861820447689,2.275759716799733,3.107861820447689,3.107861820447689,3.2801306668315404,2020-04-12
2.1587517624667405,0.39438559807006596,1.519444843093703,1.5949959203197206,2.876132554542711,2.1129915779560617,2.876132554542711,2.876132554542711,3.037861064257938,2020-04-13
2.330730581242019,0.38815041298605546,1.7010307464618424,1.774453991298035,3.036292959465321,2.2848472853409927,3.036292959465321,3.036292959465321,3.188859828252128,2020-04-14
