Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
8.229345423378543,6.040743417757856,2.834908882361848,3.1176384531604566,20.67533118170892,6.337552642896757,20.67533118170892,20.67533118170892,25.78856075490901,2020-03-19
4.4826495825246955,2.6477358939338256,1.8520944723700041,2.007879973464458,9.314968567145952,3.7167358302943243,9.314968567145952,9.314968567145952,11.804283993470301,2020-03-20
2.680018592657636,1.1388608500893034,1.3283416029664628,1.4504452852732044,4.869177390860186,2.3804980017602233,4.869177390860186,4.869177390860186,5.659046175960284,2020-03-21
2.380831749835197,0.6977058020341305,1.4309631102819824,1.5302686608467435,3.7438625475636678,2.2298367564207524,3.7438625475636678,3.7438625475636678,4.146368604991254,2020-03-22
2.1296980633647955,0.48739478751545107,1.386816245822128,1.4643576391782591,3.0526596305292206,2.0511249623188292,3.0526596305292206,3.0526596305292206,3.2872151740696407,2020-03-23
1.1594400989025422,0.27414279132115105,0.7143599311542611,0.7717349211803053,1.6617795584434436,1.1257898550728844,1.6617795584434436,1.6617795584434436,1.7865423454057694,2020-03-24
1.1907417373859839,0.23044763477611513,0.7881183872305048,0.8406446104111558,1.5949139444659006,1.1741255429068889,1.5949139444659006,1.5949139444659006,1.694252257591963,2020-03-25
0.7792743151287208,0.1709366223927258,0.47963750699768887,0.520339423641769,1.0779954385129629,0.7688190139691574,1.0779954385129629,1.0779954385129629,1.1479403535691686,2020-03-26
1.0035229796801244,0.20287191667021387,0.6513427416182521,0.6968327372915285,1.367398265946679,0.9876533716357718,1.367398265946679,1.367398265946679,1.4510199380660944,2020-03-27
1.462408505315593,0.25160288927976987,1.0157119361002798,1.0803654266026714,1.9103921727374868,1.445225722275822,1.9103921727374868,1.9103921727374868,1.9997568267791537,2020-03-28
1.334224204884033,0.22334775161041953,0.9414717415843378,0.9966758282074355,1.7259067140773183,1.3204921266542524,1.7259067140773183,1.7259067140773183,1.815671378894371,2020-03-29
1.2611857829523543,0.20660630059080154,0.8820459124956804,0.9411017847379755,1.6148554778278315,1.2522314880790746,1.6148554778278315,1.6148554778278315,1.6972542934430244,2020-03-30
1.4916213093160011,0.2243619993632738,1.0909817305835516,1.1457267225655197,1.8793858705531608,1.4789221209668562,1.8793858705531608,1.8793858705531608,1.95893597219955,2020-03-31
1.5120855150682329,0.22410735512226457,1.1149366969441201,1.1668256911717643,1.897638852710678,1.4986789531285005,1.897638852710678,1.897638852710678,1.9886598882373276,2020-04-01
1.6357569081344723,0.23458158106645774,1.2170559170918485,1.270713876007349,2.042970047466254,1.6211935604031662,2.042970047466254,2.042970047466254,2.129694298556054,2020-04-02
2.0282060063060405,0.2679072849258129,1.5427732643502652,1.6066459994069169,2.493759029280795,2.015233682097092,2.493759029280795,2.493759029280795,2.5942376161574194,2020-04-03
2.3634805309657474,0.3374478574162667,1.7701121788118055,1.8472251342488677,2.954872483489096,2.34090536447855,2.954872483489096,2.954872483489096,3.0647632999944654,2020-04-04
2.3174807441363,0.388189919132014,1.6669076478474851,1.7390063703229037,3.0085889428428807,2.282248937606436,3.0085889428428807,3.0085889428428807,3.136201750645755,2020-04-05
2.137964215088969,0.38051273267509605,1.546771108529661,1.6093566301543634,2.8379687824296407,2.081787745341514,2.8379687824296407,2.8379687824296407,2.975212134325922,2020-04-06
3.195559369704008,0.5190586694437616,2.4233151364925187,2.500695740139795,4.177355278238447,3.094707435059001,4.177355278238447,4.177355278238447,4.384423759587066,2020-04-07
2.8486050579160063,0.5761907729110574,1.9418437596757165,2.009976883728536,3.8748726527298882,2.7754947428942707,3.8748726527298882,3.8748726527298882,4.068104821438213,2020-04-08
3.1561739111378446,0.6733932711630096,2.200264241493589,2.266416582407077,4.4257839784746755,3.0202481132872556,4.4257839784746755,4.4257839784746755,4.6642577530606655,2020-04-09
2.884969672296369,0.6468930271352153,1.9760435934452165,2.0353439034519876,4.093719693837882,2.751071963614189,4.093719693837882,4.093719693837882,4.352312156371779,2020-04-10
2.527974479964149,0.5473740201722535,1.7785003327989095,1.8283241485108928,3.5540592250609624,2.4015122053025806,3.5540592250609624,3.5540592250609624,3.77982452337203,2020-04-11
2.319538952437794,0.44589763102337693,1.7210594985091823,1.764471124508034,3.1597545978243367,2.2011217336215907,3.1597545978243367,3.1597545978243367,3.3677985091720286,2020-04-12
2.2676467476434956,0.3800360553061532,1.750746553130391,1.7820918728969182,2.9986194371473625,2.167382409083892,2.9986194371473625,2.9986194371473625,3.1410943174363233,2020-04-13
1.837697976197719,0.2825822671833984,1.4364841324018491,1.464251555021107,2.3650548614532125,1.7692652020921935,2.3650548614532125,2.3650548614532125,2.4586593049534824,2020-04-14
1.7919653852059236,0.22689892753536092,1.4846562209123293,1.5110112231144155,2.2233905521035733,1.7269151270473215,2.2233905521035733,2.2233905521035733,2.2984781281217828,2020-04-15
1.6086185936989135,0.17394576932205055,1.3612281021803165,1.3834436839671356,1.9319136700260708,1.5640019100262244,1.9319136700260708,1.9319136700260708,1.9833943269056042,2020-04-16
1.6594371575161946,0.1499624607180274,1.4482208149069997,1.4660985134420477,1.9385372296390906,1.6202737966190268,1.9385372296390906,1.9385372296390906,1.9781778664461827,2020-04-17
1.534203101666131,0.12938055466302906,1.3395380304865463,1.35808342009193,1.76764837070279,1.5053008541471775,1.76764837070279,1.76764837070279,1.7973589539182797,2020-04-18
1.4981047096455216,0.11547829924940985,1.3267879223802925,1.3435066004122667,1.7058821514227545,1.4720253933344027,1.7058821514227545,1.7058821514227545,1.7318435466501936,2020-04-19
1.3915034693935473,0.09811230839384705,1.2440243724386764,1.2585633752470815,1.5668146568294254,1.3708751869858067,1.5668146568294254,1.5668146568294254,1.5920086583638076,2020-04-20
1.3510739031165857,0.08397265171904437,1.2244977366338847,1.2372547972911547,1.5033260488381317,1.3351593824092833,1.5033260488381317,1.5033260488381317,1.5236401635990342,2020-04-21
1.401932472057799,0.07696670581828667,1.2844120362593217,1.2964385478597642,1.5398121694481337,1.3867438563811807,1.5398121694481337,1.5398121694481337,1.5570676547262094,2020-04-22
