Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
2.459580739100239,0.8186039913985327,1.1591424898903466,1.3115845911298847,3.9551870714695383,2.3576818683717438,3.9551870714695383,3.9551870714695383,4.345591455149518,2020-03-17
3.6088770119224924,0.9338913906455478,2.0563571438137407,2.2492233884521244,5.286901648638467,3.5129869256113126,5.286901648638467,5.286901648638467,5.701572484574118,2020-03-18
3.8648521466636065,1.0021226693819552,2.1951320273055903,2.398798199891314,5.665794344697153,3.7684767014935705,5.665794344697153,5.665794344697153,6.068552787730815,2020-03-19
3.8130508350870116,1.0481515645011665,2.146857951849108,2.328041308766636,5.724321822198243,3.6847633130171262,5.724321822198243,5.724321822198243,6.146203768533375,2020-03-20
4.379418782614995,1.1719464798181474,2.5910342376828615,2.771636277123045,6.560011318741503,4.206749094069377,6.560011318741503,6.560011318741503,7.0277388515747266,2020-03-21
3.7048254835934413,1.0263658496847776,2.1464544704578383,2.296354569745783,5.616278938439438,3.55199825128168,5.616278938439438,5.616278938439438,6.018955733186227,2020-03-22
3.1207059836186315,0.8241510261261832,1.9011506331009662,2.0179785396412755,4.678555711574635,2.982580593477181,4.678555711574635,4.678555711574635,5.00992864957046,2020-03-23
2.5024029228268407,0.5851619694068844,1.6242534933039616,1.7127211817603627,3.597899825510359,2.4068539049682296,3.597899825510359,3.597899825510359,3.834933038729981,2020-03-24
2.271525119669916,0.4419663130862324,1.5854692828200696,1.660704661813394,3.0870666073070945,2.2048967379303708,3.0870666073070945,3.0870666073070945,3.2545607510145014,2020-03-25
2.455099528224618,0.39802917553403766,1.814162220575673,1.8863612147580795,3.1725383938051204,2.4045270738434823,3.1725383938051204,3.1725383938051204,3.3111163516989435,2020-03-26
2.2467885945257278,0.3507624766752243,1.6593924972449066,1.7271963796732164,2.8622090687132364,2.2144906466989447,2.8622090687132364,2.8622090687132364,2.9719535439575817,2020-03-27
1.5917095593242068,0.24832293054320162,1.1770517444657211,1.2258181931147374,2.031152889917382,1.5677117454904925,2.031152889917382,2.031152889917382,2.11147093658396,2020-03-28
1.5303574738346641,0.19567904759928978,1.2035702081784883,1.2433306859464517,1.8800550507600509,1.509887035888808,1.8800550507600509,1.8800550507600509,1.9480101265122678,2020-03-29
1.377015035631392,0.14975086626792308,1.1140986698739677,1.1487701244345745,1.63976197141766,1.3666110530676003,1.63976197141766,1.63976197141766,1.6925623040724052,2020-03-30
1.4298147028287016,0.13452799703648885,1.18661036105346,1.22094156568041,1.6620935658071954,1.4227188141405156,1.6620935658071954,1.6620935658071954,1.7089573269496936,2020-03-31
1.375949741591591,0.12224447061178288,1.1523339309277387,1.1845391039955606,1.5858750342528327,1.3707456910362716,1.5858750342528327,1.5858750342528327,1.6296604925987839,2020-04-01
1.1610395622950078,0.10421545689785991,0.9690338677292952,0.9970658656780911,1.338974451982912,1.1565665389615312,1.338974451982912,1.338974451982912,1.3750904578060184,2020-04-02
1.3302792235895893,0.10549011779837159,1.1351257732411528,1.1636046889561382,1.5095361320824932,1.3265218482321335,1.5095361320824932,1.5095361320824932,1.546681661770174,2020-04-03
1.3409757279091286,0.10199908199628767,1.15066252246448,1.1790526024951526,1.51429646388226,1.3376051017367203,1.51429646388226,1.51429646388226,1.550052966017828,2020-04-04
1.1406690211446728,0.09184432387759724,0.9699820535196253,0.9947949491425023,1.2966635362046106,1.1375927113874127,1.2966635362046106,1.2966635362046106,1.3280592197377765,2020-04-05
1.3594503106052815,0.09614759788095913,1.1790992132377138,1.2058841160335636,1.5221843266530426,1.3567902591538197,1.5221843266530426,1.5221843266530426,1.555156583604547,2020-04-06
1.2623559231384451,0.09168055553871467,1.090568468757586,1.1161447137470835,1.417902779672361,1.2597088575559947,1.417902779672361,1.417902779672361,1.4490540873872797,2020-04-07
1.2713320400466968,0.09121219397268476,1.1003078459409927,1.1260482293893659,1.425381045421437,1.268926009423215,1.425381045421437,1.425381045421437,1.457047293228794,2020-04-08
1.3775348058516352,0.09340305523181465,1.2019553450882792,1.2282007194222069,1.5353971105328519,1.3746471617491758,1.5353971105328519,1.5353971105328519,1.5674797591841383,2020-04-09
1.0985482441244179,0.0823519508979219,0.944023162235732,0.9670859888229953,1.2382946311738898,1.0961506569888655,1.2382946311738898,1.2382946311738898,1.2657522013255211,2020-04-10
1.0056287195960247,0.07271130436110107,0.8695175812624448,0.8899038579637302,1.1287834980383862,1.003601889951622,1.1287834980383862,1.1287834980383862,1.1542698961407833,2020-04-11
1.0083233193730725,0.0691843308890542,0.8775769822152608,0.8972275496480081,1.1249020193630295,1.0066268446969544,1.1249020193630295,1.1249020193630295,1.1487019665755274,2020-04-12
0.7812709802004731,0.05961308794994381,0.6686705777893711,0.6858349827639686,0.8821571968510927,0.7797016728435631,0.8821571968510927,0.8821571968510927,0.9030004292888699,2020-04-13
0.8331255935997933,0.06577886310261721,0.7110718125456285,0.7292644936478395,0.9451881265630276,0.8306605207596234,0.9451881265630276,0.9451881265630276,0.9685085801482513,2020-04-14
0.8622878576407965,0.07078086751918936,0.7310530381193531,0.750114118789004,0.982518514346238,0.8598202258866363,0.982518514346238,0.982518514346238,1.0078968722533308,2020-04-15
0.7533549978776147,0.06465364281027504,0.6320988671592684,0.6501329713358874,0.8627770485249238,0.7516058440981819,0.8627770485249238,0.8627770485249238,0.885688445264783,2020-04-16
0.8050920171036271,0.06940195831528816,0.6758825710889114,0.695169921352612,0.9232588350464265,0.8025025964665571,0.9232588350464265,0.9232588350464265,0.947856660569666,2020-04-17
0.9701969086535432,0.07907006704288828,0.8227182745386851,0.8445701158360123,1.1046353575456316,0.967546582250689,1.1046353575456316,1.1046353575456316,1.1323454253534706,2020-04-18
1.0518455458673748,0.07847458117195474,0.9035104515091227,0.9260942259879642,1.1839476826874382,1.0499333998025302,1.1839476826874382,1.1839476826874382,1.2103639544964893,2020-04-19
1.1864983108447575,0.08126806642435105,1.033572397899075,1.0565412443741726,1.323685331612161,1.18432844157367,1.323685331612161,1.323685331612161,1.351730308603375,2020-04-20
1.0621393182491328,0.07860551062005953,0.9143085574107486,0.9366178112797681,1.1944565183045812,1.0601037105196625,1.1944565183045812,1.1944565183045812,1.2218942768198893,2020-04-21
0.8997110330466901,0.07120035382220535,0.7667100633170937,0.786494467538599,1.0205841886203437,0.8975874644914046,1.0205841886203437,1.0205841886203437,1.0456922367249493,2020-04-22
1.0910610955292468,0.07523377873135556,0.9492758154945466,0.9705386523642452,1.2179637434367299,1.0891872473584554,1.2179637434367299,1.2179637434367299,1.243550361250108,2020-04-23
1.3159905109939507,0.08184957192077298,1.1603622833175817,1.1843355996191782,1.4533936785721318,1.314349161712594,1.4533936785721318,1.4533936785721318,1.4808520609101203,2020-04-24
1.3053585388222684,0.08704645728461556,1.1386870471111161,1.1641147961128124,1.4509907846189525,1.3039881365828143,1.4509907846189525,1.4509907846189525,1.479553391708534,2020-04-25
1.4618362522149855,0.10081270226229197,1.2700713308451999,1.2990101063725668,1.6307641496964091,1.4601046430483944,1.6307641496964091,1.6307641496964091,1.6631156043834496,2020-04-26
1.4874176664845438,0.11235966555487077,1.2762276999971705,1.3070725181395444,1.6765641124282658,1.4848159072706286,1.6765641124282658,1.6765641124282658,1.7129403449913618,2020-04-27
1.545353688614864,0.12316207186066283,1.3207685865008354,1.351453407541909,1.7552923843870527,1.5406786014076403,1.7552923843870527,1.7552923843870527,1.7948135311623803,2020-04-28
1.6440420872475539,0.13365205335504107,1.4041500956463095,1.4354816050350654,1.8727324581156117,1.6379429959206182,1.8727324581156117,1.8727324581156117,1.9146769116522837,2020-04-29
1.5746342084044742,0.13555453867326162,1.3315945181531492,1.362821558056261,1.8045213673820701,1.5687333395185101,1.8045213673820701,1.8045213673820701,1.8439835398159956,2020-04-30
1.405247964381057,0.12166523712577325,1.1920676066077287,1.218691828332169,1.6144269619329839,1.3974166885335229,1.6144269619329839,1.6144269619329839,1.6502322986394635,2020-05-01
1.43316725816541,0.10895017357655877,1.2453581881800522,1.2687445720619752,1.6228825654580308,1.4246252634330152,1.6228825654580308,1.6228825654580308,1.6562065822653342,2020-05-02
1.263702265058875,0.08877081269147209,1.1051306198758437,1.1262493953311137,1.4160546076855212,1.258600824190753,1.4160546076855212,1.4160546076855212,1.4426193373735452,2020-05-03
1.140602632694551,0.07227283232679907,1.0094763696148668,1.0275933285060597,1.264565734110811,1.1372993945971888,1.264565734110811,1.264565734110811,1.2879391814185903,2020-05-04
