Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date,State
2.748951115112361,1.177760988268634,1.0094129574757293,1.186615259144749,4.9469649290743165,2.561533163100663,4.9469649290743165,4.9469649290743165,5.558545468127584,2020-03-27,RO
2.2064228052648933,0.921324683154172,0.82554650561575,0.9730065526412638,3.920141577950129,2.0662818247491006,3.920141577950129,3.920141577950129,4.388603045304393,2020-03-28,RO
1.28989034085414,0.6174805637693765,0.3872911589732414,0.4752453911295369,2.443863762639323,1.1897095421802426,2.443863762639323,2.443863762639323,2.758897063897444,2020-03-29,RO
1.1761149174575776,0.5493391623477135,0.3589470269004531,0.44010968677069917,2.201617209206042,1.0918786454174378,2.201617209206042,2.201617209206042,2.4804348316729397,2020-03-30,RO
1.6466295706565865,0.6431278110705827,0.6421617754791095,0.7540067801168353,2.8294624471975074,1.5629728123617848,2.8294624471975074,2.8294624471975074,3.127895235102813,2020-03-31,RO
1.3487161883903829,0.5693731352222744,0.4780039359752366,0.570147636535565,2.399322597662417,1.2700047547687934,2.399322597662417,2.399322597662417,2.679963770786411,2020-04-01,RO
1.5259207315499437,0.5912138702983488,0.5963471786523742,0.7019379482406635,2.6119926865683496,1.4507900197552543,2.6119926865683496,2.6119926865683496,2.886510755500331,2020-04-02,RO
1.2479905713341577,0.523439722484844,0.44518315488495347,0.5292723123760945,2.2156381813922232,1.1749039483594799,2.2156381813922232,2.2156381813922232,2.4575852018685103,2020-04-03,RO
1.4256622788722157,0.5521713941052324,0.558887785578013,0.6538503482723618,2.4389944286219984,1.355442235495182,2.4389944286219984,2.4389944286219984,2.696046413573624,2020-04-04,RO
1.5973753484438669,0.5763366916509881,0.678487325138372,0.7832469993200765,2.6492455556266856,1.5268842581365731,2.6492455556266856,2.6492455556266856,2.910630875771558,2020-04-05,RO
1.911362541411061,0.6173002108947248,0.8996287668846319,1.0212479570150572,3.0288099592091773,1.8454267080277316,3.0288099592091773,3.0288099592091773,3.299421235806788,2020-04-06,RO
2.109341108924531,0.63301388481611,1.066960919703257,1.192566849849736,3.252068517288749,2.0441237222035764,3.252068517288749,3.252068517288749,3.525857354790509,2020-04-07,RO
1.6976233918584647,0.5439286868886669,0.8148594802133099,0.9185601656843093,2.6843065246085343,1.635856178007581,2.6843065246085343,2.6843065246085343,2.9259321847192523,2020-04-08,RO
2.7701305823756806,0.6725260304489501,1.6350429379784432,1.781030274651417,3.9728712869625262,2.707568781698838,3.9728712869625262,3.9728712869625262,4.261329727342882,2020-04-09,RO
2.804684453905546,0.6785002026944768,1.6549340063452302,1.8030813870651707,4.014780324768886,2.744134210855636,4.014780324768886,4.014780324768886,4.2907664530348635,2020-04-10,RO
2.2273684149518185,0.5854745046160692,1.2713503214837585,1.3852581891086606,3.284697352262445,2.162241939589334,3.284697352262445,3.284697352262445,3.5417768388895623,2020-04-11,RO
1.8790864058645977,0.4734159886675472,1.1118642728878694,1.205201201725489,2.7465442085269807,1.823964143715362,2.7465442085269807,2.7465442085269807,2.9563452413849807,2020-04-12,RO
1.9091926992334325,0.412224411658975,1.2155197574990022,1.3059231231760036,2.6501258364804476,1.8689240255835609,2.6501258364804476,2.6501258364804476,2.826760907299428,2020-04-13,RO
2.645995052915713,0.4603106372558759,1.84903353880727,1.9539614466259139,3.459913057859766,2.609586037395994,3.459913057859766,3.459913057859766,3.6399964179717825,2020-04-14,RO
2.4195188131225636,0.453050590596002,1.626497763597743,1.729892684526551,3.210424405323237,2.389509845678842,3.210424405323237,3.210424405323237,3.3773596452529864,2020-04-15,RO
1.841322559326341,0.3710312963531321,1.215796540712835,1.2927599215310766,2.5041563577321857,1.8082479148029502,2.5041563577321857,2.5041563577321857,2.64758907324514,2020-04-16,RO
1.916136290499609,0.33434524724926956,1.3569540316193516,1.4269258112214183,2.5180003967189037,1.882756191758237,2.5180003967189037,2.5180003967189037,2.6529125255098895,2020-04-17,RO
2.0994254233308447,0.31678510790162967,1.5520681851214766,1.6228168973201325,2.660279495139687,2.074419076006747,2.660279495139687,2.660279495139687,2.7816688819147295,2020-04-18,RO
2.1493365904451327,0.3148571618843185,1.5946204789014287,1.6669738591703518,2.6982069961651693,2.129760741033019,2.6982069961651693,2.6982069961651693,2.808431520912519,2020-04-19,RO
2.2833751722177724,0.3326589690757705,1.702170015359198,1.7748617406826335,2.8620079863275505,2.2632325471838897,2.8620079863275505,2.8620079863275505,2.9749458792375587,2020-04-20,RO
2.1645195357584304,0.32706872042534274,1.600868954139744,1.6682002865534318,2.7368779879208724,2.142524521551887,2.7368779879208724,2.7368779879208724,2.8428583027866994,2020-04-21,RO
