Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
14.137176396516473,6.5764779468928385,5.4301271038327235,6.043547669923569,26.85000109957136,12.760621332695356,26.85000109957136,26.85000109957136,29.92674353911851,2020-03-22
8.098452530601383,4.812471130248997,2.7317195533686167,3.027255668124015,18.03626406428106,6.695775597164854,18.03626406428106,18.03626406428106,20.851551122036497,2020-03-23
5.816303122682522,3.0141578892473277,2.5372089722035405,2.744874168424934,12.05217303531725,4.925967717143384,12.05217303531725,12.05217303531725,14.055769209926687,2020-03-24
3.8417460921859754,1.5436528241987533,1.9531660791006618,2.092293332380125,6.9391031016067455,3.4528594709922515,6.9391031016067455,6.9391031016067455,7.830588753849238,2020-03-25
3.020097622597098,0.9310953807531692,1.7776959041204814,1.8844301100240715,4.854252173409672,2.814241456468771,4.854252173409672,4.854252173409672,5.3114018263403,2020-03-26
2.6517543075175016,0.641412280605542,1.7202812831801217,1.8105981978858625,3.871001627595797,2.534204524125893,3.871001627595797,3.871001627595797,4.1473392984519935,2020-03-27
2.594096877801416,0.5238052672693276,1.7926073513535594,1.8742070571429674,3.563341081629788,2.516231997593552,3.563341081629788,3.563341081629788,3.760045434460001,2020-03-28
2.315954242633317,0.42961295026454827,1.6339373548208675,1.7060272644065666,3.092748337653299,2.2624784415213886,3.092748337653299,3.092748337653299,3.2424439777470333,2020-03-29
1.938303039527516,0.33360675942217877,1.40128675046018,1.461220723613074,2.5386448988524903,1.8988806801144453,2.5386448988524903,2.5386448988524903,2.652976094745886,2020-03-30
1.7352505572646706,0.2592575730392205,1.3111947468713223,1.3600291974027934,2.2004703492879085,1.7062410456723163,2.2004703492879085,2.2004703492879085,2.293326294815008,2020-03-31
1.7061851653626097,0.21608343643342667,1.3417470602143335,1.3863712757394966,2.09065740881987,1.6859317818986126,2.09065740881987,2.09065740881987,2.165611485132228,2020-04-01
1.6620441144163034,0.19006133510664036,1.3318973871479693,1.374536355522112,1.995660284416557,1.6477129214563666,1.995660284416557,1.995660284416557,2.058993491092339,2020-04-02
1.6260236300376871,0.174942028689495,1.3192469711617656,1.3590062271917924,1.9288974196868052,1.6150821103147708,1.9288974196868052,1.9288974196868052,1.988077810401326,2020-04-03
1.619270158471759,0.16523886767683887,1.3270961067225904,1.3655795540407611,1.9051103042629527,1.6095551995385389,1.9051103042629527,1.9051103042629527,1.9592308433008159,2020-04-04
