Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
3.6423907388969363,1.2895662486426414,1.9326601056125563,2.0584690095781117,6.130087039565955,3.3263497869075938,6.130087039565955,6.130087039565955,6.685427224337519,2020-03-24
2.617462360157831,0.739832558218687,1.622532360324457,1.6989918676338027,4.031449254058283,2.4453535547424017,4.031449254058283,4.031449254058283,4.335458417576367,2020-03-25
2.187095625147146,0.45763826883353637,1.5368232657403438,1.59329158057483,3.037448718245053,2.097876443571737,3.037448718245053,3.037448718245053,3.209054175205346,2020-03-26
1.8465193063935101,0.2964077003424094,1.3898839374836485,1.4354499136546401,2.380342378172421,1.8042705645949062,2.380342378172421,2.380342378172421,2.477633763750066,2020-03-27
1.6832423306673967,0.21600730452379335,1.3316236418567493,1.3698551910104193,2.0619781515249165,1.660077021215259,2.0619781515249165,2.0619781515249165,2.1272399575921797,2020-03-28
1.407784046184724,0.15399882850648458,1.1445014480714488,1.176053426969834,1.6743637038311774,1.3964862175602772,1.6743637038311774,1.6743637038311774,1.7207580541498895,2020-03-29
1.1267095650662204,0.10762937384495107,0.9350892185139417,0.9609238755134771,1.3129194303830205,1.1204442710758549,1.3129194303830205,1.3129194303830205,1.3487481267249148,2020-03-30
1.0565662695075708,0.08745233382875317,0.8933126476197062,0.9172037569127128,1.2049603149793622,1.0538378951916394,1.2049603149793622,1.2049603149793622,1.2349374528269474,2020-03-31
1.2036659125461704,0.08956911492202928,1.0353369473625373,1.0603042021979918,1.3550407929977242,1.2012729753599705,1.3550407929977242,1.3550407929977242,1.386256701844718,2020-04-01
1.5064213343415838,0.09528234947901625,1.328514497256139,1.3554881196511857,1.6685834463640035,1.5033323583930787,1.6685834463640035,1.6685834463640035,1.7015655270985297,2020-04-02
1.5532641351360286,0.10168786948137298,1.3570774718839542,1.3871844475190187,1.7221631113656162,1.5523483349942073,1.7221631113656162,1.7221631113656162,1.7546525400412958,2020-04-03
1.7205969201534832,0.13072170344867118,1.4708878165417878,1.50555245524939,1.9325863410472137,1.7218987735261,1.9325863410472137,1.9325863410472137,1.9696388685222772,2020-04-04
1.7679206607179503,0.16005251175644014,1.4735768001451441,1.510366570373992,2.0312002742853243,1.7662373061692271,2.0312002742853243,2.0312002742853243,2.072782580572854,2020-04-05
2.109461348124997,0.20869357589500237,1.7445654951972407,1.7860592059956608,2.459301043603329,2.0994405771938567,2.459301043603329,2.459301043603329,2.513221458668075,2020-04-06
1.871077108097758,0.22253878700208488,1.47388945334663,1.5191375725167597,2.239254299140531,1.8617629140076786,2.239254299140531,2.239254299140531,2.294071470185419,2020-04-07
2.0495054685721037,0.24342576469138244,1.6545814974537472,1.693077367507015,2.4698919096974996,2.024766972023744,2.4698919096974996,2.4698919096974996,2.53246622965933,2020-04-08
1.8061566918616623,0.21774828843843422,1.4396534772819976,1.478117927415087,2.1748460825510216,1.7881313408647797,2.1748460825510216,2.1748460825510216,2.2301584755874564,2020-04-09
1.5084265078144652,0.16952527365189676,1.2368321243205576,1.2626917098112314,1.8008983824709393,1.4907235554920004,1.8008983824709393,1.8008983824709393,1.8438058418670382,2020-04-10
1.339392377810815,0.12010977367808148,1.1492042159350446,1.167882830808101,1.5483944099777878,1.3261475646964458,1.5483944099777878,1.5483944099777878,1.5813569217209724,2020-04-11
1.2294887704934125,0.08370529331265383,1.0867438256198327,1.103407209970812,1.3724532741086106,1.2235371553905816,1.3724532741086106,1.3724532741086106,1.3950480992997496,2020-04-12
1.0664646345365472,0.05909508540201128,0.9582186056627444,0.9730388083889197,1.1664919369828697,1.0642832912345832,1.1664919369828697,1.1664919369828697,1.1840165441738564,2020-04-13
1.2471992254087803,0.05669125622074451,1.138433482455152,1.1544255972556277,1.3415425502612743,1.2468801203561004,1.3415425502612743,1.3415425502612743,1.3596734526914427,2020-04-14
1.0933878614243269,0.04710447028448092,1.0062474127634478,1.0188643708212621,1.1739669185909973,1.0915869690214697,1.1739669185909973,1.1739669185909973,1.1903658361479186,2020-04-15
1.1757885972763016,0.04568637528651296,1.0898437028469243,1.1027864226099173,1.2531824015111201,1.1745585007064359,1.2531824015111201,1.2531824015111201,1.2684856036118055,2020-04-16
1.4345668875825826,0.04983203187007346,1.3405889944506908,1.3546641161948516,1.5185096721122242,1.4333936090474708,1.5185096721122242,1.5185096721122242,1.5355202426681933,2020-04-17
1.6369000901710793,0.07282963099473681,1.487271997195626,1.5099429981468533,1.7487469581335264,1.6417751926516888,1.7487469581335264,1.7487469581335264,1.766352823519831,2020-04-18
1.628958206026342,0.11204008850680088,1.4072107450191524,1.4353477956334328,1.7980299022970092,1.6357781303934935,1.7980299022970092,1.7980299022970092,1.8195098778386538,2020-04-19
1.5675184438062562,0.12901915189211244,1.3400129586264626,1.364108956615303,1.778641357183976,1.562688114428815,1.778641357183976,1.778641357183976,1.8073444426432432,2020-04-20
1.436747198097703,0.11774397900559441,1.2416237853587955,1.2610697635962054,1.6368840866464005,1.427210571069326,1.6368840866464005,1.6368840866464005,1.666851986926447,2020-04-21
1.3411100074030942,0.09563666855856724,1.1881056010718798,1.202672605192003,1.5051228978368414,1.3320298076277268,1.5051228978368414,1.5051228978368414,1.530664882553403,2020-04-22
1.566641514755702,0.08989936266754332,1.4208367122108412,1.435306657519851,1.718657724374152,1.5595590552888638,1.718657724374152,1.718657724374152,1.7405836271200799,2020-04-23
1.3765809136733598,0.08528387813520663,1.2205355111851532,1.239470804899156,1.511517295109047,1.3764875755108577,1.511517295109047,1.511517295109047,1.528284200649211,2020-04-24
1.4290701902824028,0.08437846431057941,1.287224831894268,1.301377885124817,1.5665496217354478,1.4254027694682776,1.5665496217354478,1.5665496217354478,1.5841445334967699,2020-04-25
1.4311509395097588,0.08090380986313335,1.2924353912061521,1.3069854714999671,1.561690394572673,1.4287160029518637,1.561690394572673,1.561690394572673,1.5780390268353262,2020-04-26
1.6622215995224268,0.09360036112688365,1.5020363967019286,1.51824352292056,1.8117899788988197,1.6598534980673842,1.8117899788988197,1.8117899788988197,1.8299957066716277,2020-04-27
1.490845694161769,0.10369263946973442,1.2952109185675242,1.31925061929586,1.6498088177921058,1.4923448807916309,1.6498088177921058,1.6498088177921058,1.666920021779446,2020-04-28
1.4165740146086998,0.10018087639206963,1.2502589297734956,1.2655754710798819,1.5796204834013072,1.4107078156941124,1.5796204834013072,1.5796204834013072,1.598740432995668,2020-04-29
1.1656821132404411,0.07340336364294485,1.0475743180943191,1.0581205564911982,1.2880334390810662,1.1602545084875995,1.2880334390810662,1.2880334390810662,1.303982816003562,2020-04-30
1.1231812485513708,0.05144887847649193,1.0348664279328326,1.045152072196465,1.2097121975000602,1.1194148772483001,1.2097121975000602,1.2097121975000602,1.2218397841258488,2020-05-01
0.9876653685132599,0.03427510780548381,0.9213369447237746,0.9309045950250907,1.0437832716926942,0.9876679565196389,1.0437832716926942,1.0437832716926942,1.0533428727926863,2020-05-02
