Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
2.598192126979398,1.016643923814705,1.1266961730357514,1.277396671869017,4.52457326207934,2.421625230886821,4.52457326207934,4.52457326207934,5.046361335074926,2020-03-27
2.1162629771512647,0.7280725408640263,1.013558251610971,1.134800333988747,3.474654163582027,2.008422293328901,3.474654163582027,3.474654163582027,3.8408860878157336,2020-03-28
2.1422823722893143,0.614263263764565,1.1492057117111583,1.2699478659934296,3.2607617372611477,2.069971511646806,3.2607617372611477,3.2607617372611477,3.542936524711059,2020-03-29
2.0390001051158366,0.534840562673066,1.1513069454966425,1.2620633516587665,3.000893598648267,1.985306362078193,3.000893598648267,3.000893598648267,3.2323092600052985,2020-03-30
1.9355153127382265,0.48009151635729425,1.1286424218209474,1.2307320590458453,2.7979524962485542,1.8908158097875574,2.7979524962485542,2.7979524962485542,3.0016298582455,2020-03-31
1.7547596749194712,0.42291554226629513,1.037947944628686,1.1318431177502655,2.510830278319499,1.7147237870284175,2.510830278319499,2.510830278319499,2.6867671882134534,2020-04-01
1.9857868542144115,0.4219777486191024,1.261284269246979,1.3566189318886945,2.7340795511465736,1.9514141601776274,2.7340795511465736,2.7340795511465736,2.908375811050781,2020-04-02
2.2539950380908818,0.43508295167181044,1.499559828733504,1.597918990811659,3.0202020538932697,2.221586190449654,3.0202020538932697,3.0202020538932697,3.197209486110068,2020-04-03
2.465243410879946,0.4616858256914933,1.66287612395659,1.7692201901651368,3.2770260592232607,2.4302954354534707,3.2770260592232607,3.2770260592232607,3.454237074005668,2020-04-04
2.078908023643108,0.4194154361059313,1.366403117102691,1.4542309490712142,2.8227543312646572,2.043151149743366,2.8227543312646572,2.8227543312646572,2.9832293893877404,2020-04-05
2.2495049855459244,0.41590197783828875,1.558010584596878,1.6414003275174536,2.9958789180235783,2.2069485933577826,2.9958789180235783,2.9958789180235783,3.1601429631101534,2020-04-06
1.7177605686956834,0.3194224028014179,1.1785361755548602,1.2464079591834782,2.289204080539433,1.6880232051843698,2.289204080539433,2.289204080539433,2.4148515165996587,2020-04-07
1.7346987677154926,0.2828649804426917,1.252699141251459,1.3150821571723725,2.239040177423654,1.7093912765476023,2.239040177423654,2.239040177423654,2.349047633478816,2020-04-08
1.7348723400184856,0.25159280644029414,1.2949065149886063,1.3535937809032572,2.1783128533532454,1.7166433689288854,2.1783128533532454,2.1783128533532454,2.2737393317812744,2020-04-09
1.4478213200978345,0.20951448961890268,1.0756341734667998,1.126359685174962,1.814108902640142,1.4343754824882968,1.814108902640142,1.814108902640142,1.8924823445356391,2020-04-10
1.2483723262842874,0.17432827067621706,0.9373326299821132,0.9806799118708669,1.551991368408628,1.2374847895009833,1.551991368408628,1.551991368408628,1.6185083128660989,2020-04-11
1.1278178065415443,0.14976459648883889,0.8568155461500583,0.8953530115381657,1.3867358502255311,1.1201896781734517,1.3867358502255311,1.3867358502255311,1.4426067014434214,2020-04-12
0.9969839652706914,0.1332986220311448,0.754447363827373,0.7890211757795136,1.227688394361759,0.9907772070149887,1.227688394361759,1.227688394361759,1.2761998806815535,2020-04-13
1.0122121388037706,0.13246419805337648,0.7703196704233125,0.8047654194840449,1.239935379514684,1.0059265151693513,1.239935379514684,1.239935379514684,1.2880508797949792,2020-04-14
