Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
3.5659041126542883,1.1165964573637646,1.794210853060629,2.000184134021717,5.615470209007372,3.421223789307845,5.615470209007372,5.615470209007372,6.133528441560309,2020-03-26
2.532215243136309,0.8468825615650233,1.2044669617597563,1.3570255001903075,4.090557814934356,2.419729414679944,4.090557814934356,4.090557814934356,4.4878821209898465,2020-03-27
2.594704819760979,0.7704249101103758,1.370035542659037,1.5133965649461836,4.007260245505689,2.498830586173697,4.007260245505689,4.007260245505689,4.361894069871029,2020-03-28
1.960295977501861,0.57728747132084,1.034853948584661,1.144359601524683,3.0114148294219434,1.8899090839623636,3.0114148294219434,3.0114148294219434,3.2815009386174587,2020-03-29
1.8397809893054582,0.49128620488252545,1.0322422056358804,1.131119198696244,2.726350725215924,1.7878873925915473,2.726350725215924,2.726350725215924,2.9488315067688045,2020-03-30
2.5855717190943888,0.5386276048801375,1.659419251692461,1.7829259558759014,3.539353650060839,2.5406839840604993,3.539353650060839,3.539353650060839,3.7603794721993675,2020-03-31
2.622394265953629,0.5410118766472921,1.6903863340092147,1.8105257581887608,3.574871448520959,2.58034467646962,3.574871448520959,3.574871448520959,3.7882006741357457,2020-04-01
2.1142959831128674,0.4724907706951456,1.3205805387526972,1.416508632161693,2.9601947020178505,2.070393289894264,2.9601947020178505,2.9601947020178505,3.1471979444091387,2020-04-02
1.9333142617548755,0.40619331044541285,1.2568384681951166,1.3422477102517116,2.6663631020226237,1.8915443989252316,2.6663631020226237,2.6663631020226237,2.8343602674781745,2020-04-03
2.73713057593397,0.4568202858641178,1.9594655984318472,2.0596239065537594,3.5521607906703156,2.696764206074424,3.5521607906703156,3.5521607906703156,3.7305091241163573,2020-04-04
2.419042635282331,0.43577000532237475,1.662252589989597,1.7572673630908646,3.181042728619825,2.3890365354747276,3.181042728619825,3.181042728619825,3.3350852300184766,2020-04-05
2.3036232164841906,0.4214795784027982,1.6017340294261861,1.6842029029706005,3.0525094484874495,2.2635053523463835,3.0525094484874495,3.0525094484874495,3.2071054632789173,2020-04-06
2.443553362901831,0.4146469348202158,1.7609778779854728,1.8402364352683003,3.1834322160365938,2.401607990160576,3.1834322160365938,3.1834322160365938,3.335895998375291,2020-04-07
2.373025971822178,0.39217126084133996,1.7188646355706374,1.7946575479997877,3.0665620585509887,2.3390909621153853,3.0665620585509887,3.0665620585509887,3.2037943597453284,2020-04-08
1.8494464620051256,0.3073628218779378,1.3398815808825462,1.3981610728459604,2.394333199979553,1.8210799662822397,2.394333199979553,2.394333199979553,2.501724331582364,2020-04-09
1.5231946333182456,0.22513207036339794,1.1503678411584843,1.1947442539321176,1.9270538114870355,1.5003131794822453,1.9270538114870355,1.9270538114870355,2.0084932066777808,2020-04-10
1.5267572747078342,0.18183403093004433,1.211574910731513,1.252157901130663,1.8477281142466684,1.5124887064069257,1.8477281142466684,1.8477281142466684,1.9135163250774805,2020-04-11
1.6073619062976292,0.16421664799765526,1.312856159461042,1.3534600731707114,1.8910922119118356,1.5982063654550323,1.8910922119118356,1.8910922119118356,1.9482250357700823,2020-04-12
1.5250230897757147,0.15093391763217584,1.251176628590975,1.288796011295975,1.783159737817858,1.5182325801488759,1.783159737817858,1.783159737817858,1.8344709916075754,2020-04-13
1.5206919925087874,0.14529619476878836,1.2560237978293496,1.292064483521073,1.7691385481455655,1.5145305775988969,1.7691385481455655,1.7691385481455655,1.817939750657383,2020-04-14
1.6230535369980843,0.14609931124044587,1.3566903056828383,1.3933185621761666,1.8729292962195436,1.6169873107449488,1.8729292962195436,1.8729292962195436,1.921093437215759,2020-04-15
