Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
2.719998252334711,1.167343762510302,0.9955219071552721,1.1744375169143382,4.901859792448191,2.5350215560514266,4.901859792448191,4.901859792448191,5.504529276338382,2020-03-27
2.1842640191408274,0.9174546201055122,0.8119636176366035,0.9567867420807424,3.890896115096546,2.0447377424560345,3.890896115096546,3.890896115096546,4.356794193784086,2020-03-28
1.2784272210484837,0.6152770170489208,0.38182565053751805,0.4687882578250731,2.4258642166375295,1.177638053760315,2.4258642166375295,2.4258642166375295,2.7461739983004136,2020-03-29
1.1697429166883595,0.5483964486545181,0.360032953544495,0.43861385234937106,2.1952554831985776,1.0842502684983186,2.1952554831985776,2.1952554831985776,2.4688298687925387,2020-03-30
1.6455889021596013,0.6425975574826349,0.6408774297739216,0.7516199276205341,2.8259870693754507,1.5627154849044822,2.8259870693754507,2.8259870693754507,3.1296195754733374,2020-03-31
1.3490126688005246,0.570790136565024,0.4741214151764901,0.5661387932566758,2.4029168414357907,1.2682283245844208,2.4029168414357907,2.4029168414357907,2.6816398620374455,2020-04-01
1.521585789717389,0.5927364286767618,0.5934546398747359,0.6968039909591597,2.611421976699642,1.4441257211019423,2.611421976699642,2.611421976699642,2.8926177592668303,2020-04-02
1.2477748377798807,0.5240652739775757,0.44068953907618513,0.5284927864665702,2.2156896579555507,1.1751554267839053,2.2156896579555507,2.2156896579555507,2.46579308673382,2020-04-03
1.4225927285455495,0.5495420472745282,0.5587019035020364,0.6526561776661316,2.4298193931615817,1.3533293108975568,2.4298193931615817,2.4298193931615817,2.6799826340306705,2020-04-04
1.5939484264535753,0.5750749717191298,0.67416533788746,0.7804240368969914,2.644248829062381,1.523998728055361,2.644248829062381,2.644248829062381,2.8977436222867645,2020-04-05
1.9064273928560855,0.6161799028053524,0.89833859159772,1.0206616532709363,3.024192589181596,1.838967423033767,3.024192589181596,3.024192589181596,3.295121044422805,2020-04-06
2.1029006343654593,0.6293377239872097,1.0606319585008979,1.1890676456208142,3.235790024083898,2.038409851861081,3.235790024083898,3.235790024083898,3.5115763082172635,2020-04-07
1.686764482615675,0.5432768073039264,0.8049327884730122,0.9108262295266891,2.6720827091898576,1.6250768879937607,2.6720827091898576,2.6720827091898576,2.9130765800212925,2020-04-08
2.7514201211015266,0.6678655739641267,1.6228594430721222,1.7687545722133353,3.941222728789872,2.6887580102378195,3.941222728789872,3.941222728789872,4.233493934564371,2020-04-09
2.7804587570634407,0.6760151044694255,1.6429084061943757,1.7842914580332332,3.991470464934545,2.716802158731135,3.991470464934545,3.991470464934545,4.273562275409083,2020-04-10
2.2023121775197625,0.583302927568467,1.2577740852095771,1.370093082977864,3.2633409277351304,2.1348539905337716,3.2633409277351304,3.2633409277351304,3.525659034574565,2020-04-11
1.8599293099331442,0.4698880655953975,1.1020631003989383,1.1945677136324833,2.7177619284143217,1.8040218700906354,2.7177619284143217,2.7177619284143217,2.932691745368651,2020-04-12
1.8942442692085089,0.4122109039506279,1.2054125332455872,1.2935130182537593,2.6355899912496716,1.853172414209485,2.6355899912496716,2.6355899912496716,2.8149811895014714,2020-04-13
2.629623701020138,0.45977664176844957,1.8328330400422308,1.9408034824511706,3.4406141982711445,2.5925839503495585,3.4406141982711445,3.4406141982711445,3.6243872769327576,2020-04-14
2.3980649516411088,0.4516105117155642,1.6137459264181264,1.7135407927880737,3.190843490011256,2.3663676962534104,3.190843490011256,3.190843490011256,3.360174383309612,2020-04-15
1.8231614483403757,0.36991486129649265,1.2065976744365103,1.2815576713066137,2.4864398161573864,1.7873131482968354,2.4864398161573864,2.4864398161573864,2.630383894820136,2020-04-16
1.90092024293374,0.3337561320556368,1.3456613084257965,1.4153428445134075,2.504477560554553,1.8654101665144704,2.504477560554553,2.504477560554553,2.6413559604645953,2020-04-17
2.085455100327015,0.31755967230677706,1.5410822660264647,1.612252941865275,2.6500092882370057,2.0580754449483343,2.6500092882370057,2.6500092882370057,2.7732240927013865,2020-04-18
2.1339396989930957,0.31568450827659333,1.5852627949776494,1.6568535492407304,2.688644991485378,2.111065308737052,2.688644991485378,2.688644991485378,2.803400967368488,2020-04-19
2.2651174813111234,0.33407560680001963,1.692419580342995,1.7613201928946514,2.8522167608282456,2.2410259460199216,2.8522167608282456,2.8522167608282456,2.9680254472895413,2020-04-20
2.1453254505464394,0.3276719717772812,1.5907209897634158,1.6558498108249389,2.7236786142890317,2.1196509136400516,2.7236786142890317,2.7236786142890317,2.837265576558001,2020-04-21
2.02412304931972,0.3052958736327517,1.5184800551431417,1.5768461589531457,2.5703143545862597,1.9959909963506395,2.5703143545862597,2.5703143545862597,2.6790996407305494,2020-04-22
1.9149932995908734,0.2703805470788366,1.468788871088786,1.5206392547888248,2.399572462532735,1.8876526533308515,2.399572462532735,2.399572462532735,2.495945399782462,2020-04-23
1.8496141190524935,0.24003453410199938,1.4502567755166562,1.4969843076897187,2.277400959821548,1.8272437934574604,2.277400959821548,2.277400959821548,2.3633492071328717,2020-04-24
1.750237749707998,0.21040515427066483,1.3945644779467254,1.4371766602829952,2.123323973395088,1.7321693079705915,2.123323973395088,2.123323973395088,2.1940931255697538,2020-04-25
1.6484723439801854,0.1841254504930249,1.3347264103948104,1.3727360678803668,1.9732532089401948,1.6343250823326572,1.9732532089401948,1.9732532089401948,2.0339646252419388,2020-04-26
1.4374206476711062,0.14966056503775738,1.1779873781117256,1.2109682072712273,1.6997400222785983,1.4266582803673218,1.6997400222785983,1.6997400222785983,1.7504973389878127,2020-04-27
1.1936331580787587,0.11343919103026856,0.9930274140972367,1.0203332524777318,1.3921288326493046,1.1862716077130608,1.3921288326493046,1.3921288326493046,1.4312021383599063,2020-04-28
1.0966015191382517,0.09120533459759922,0.9296967006443253,0.9538396373010125,1.2531691949362633,1.0924601974024424,1.2531691949362633,1.2531691949362633,1.2857045942166003,2020-04-29
1.2672683170819834,0.09142794009185155,1.0968278686644926,1.1219318054343685,1.4222760741398686,1.264081024213181,1.4222760741398686,1.4222760741398686,1.4544245034734855,2020-04-30
1.4254054657658362,0.09306251312038541,1.2525932727400526,1.2784724996380785,1.5842956332500084,1.4217946486634192,1.5842956332500084,1.5842956332500084,1.6169015403211096,2020-05-01
1.4769161844184988,0.09820394299279983,1.2906374079194536,1.3187829485001628,1.6419601067271563,1.4746005652700283,1.6419601067271563,1.6419601067271563,1.6740364831721062,2020-05-02
1.434065602381029,0.10593622381198202,1.2354854729771854,1.263496888204768,1.6111820188973367,1.432372746920433,1.6111820188973367,1.6111820188973367,1.643917662360128,2020-05-03
1.4078282089754337,0.10718749867316134,1.2138150124071219,1.2396623357075902,1.590193779637062,1.4036581195047049,1.590193779637062,1.590193779637062,1.6253197636893124,2020-05-04
1.6052020497887696,0.1152884188434813,1.3986041292294333,1.426421619617123,1.803433621683971,1.5993195361002552,1.803433621683971,1.803433621683971,1.8414556973830027,2020-05-05
1.665755078502396,0.1277453056033966,1.4334430077976934,1.4640662264615327,1.881356451978494,1.6618500033417751,1.881356451978494,1.881356451978494,1.9202617572658163,2020-05-06
1.7444659769021442,0.1472991899330222,1.4818480932398652,1.513970610858945,1.9935906930193659,1.7396903341411991,1.9935906930193659,1.9935906930193659,2.035545195479122,2020-05-07
1.6524299890736573,0.1527850955306038,1.386475271379706,1.4182587957827224,1.9147976117504983,1.6456209794737333,1.9147976117504983,1.9147976117504983,1.958782963229113,2020-05-08
1.402118415538414,0.1299475047924889,1.1836699656054517,1.2081540949997716,1.63019757877267,1.392811408993404,1.63019757877267,1.63019757877267,1.6701840675955364,2020-05-09
1.2434039735876832,0.09813922156506756,1.0799799046833636,1.0990826972606542,1.417838992420266,1.233740740884529,1.417838992420266,1.417838992420266,1.4498699999642957,2020-05-10
1.2443554786868851,0.07740115775635695,1.1083512738405321,1.1264833880290168,1.379265056403234,1.2386011087969435,1.379265056403234,1.379265056403234,1.4046120030289257,2020-05-11
1.1040849469901373,0.0610358271717821,0.993058328796283,1.0084036587077632,1.2088525418385765,1.1012947144474512,1.2088525418385765,1.2088525418385765,1.2294661027419476,2020-05-12
1.1873730405906475,0.05754675948051499,1.0806315816935046,1.0963060155267976,1.285435910926767,1.1853780446598567,1.285435910926767,1.285435910926767,1.3050358927820198,2020-05-13
1.0113324655030804,0.048563580328728234,0.9204457284184773,0.9341472628443892,1.0939653763536916,1.0097522941841703,1.0939653763536916,1.0939653763536916,1.110682584787129,2020-05-14
0.9554107391199381,0.044619082769313374,0.871097805599609,0.8838127831898095,1.030414823783214,0.954375772759011,1.030414823783214,1.030414823783214,1.0455260371417119,2020-05-15
1.1039222349205733,0.04941022845261652,1.0105541210863112,1.0249131683729658,1.1874483854257754,1.1026302450999725,1.1874483854257754,1.1874483854257754,1.2038839324522566,2020-05-16
1.1040870469699944,0.04583450316065085,1.0166454776001894,1.0302236329745595,1.1808813300098968,1.103231582251854,1.1808813300098968,1.1808813300098968,1.1961586652199911,2020-05-17
1.0623353268624998,0.043301427719473186,0.9794689577128528,0.9925149891575207,1.1347469390986047,1.0615994149293932,1.1347469390986047,1.1347469390986047,1.1492298283686397,2020-05-18
1.2885330166393474,0.04735329444406285,1.1976228750049638,1.2119713922530453,1.3675751419364623,1.2879011095799844,1.3675751419364623,1.3675751419364623,1.3831023113524294,2020-05-19
1.3881433426971872,0.05614354485991843,1.2778554955407566,1.295245775126752,1.4799787506924222,1.3884581719165263,1.4799787506924222,1.4799787506924222,1.4973933296926691,2020-05-20
1.4369946924510526,0.07518553216179145,1.2918553547647451,1.3125530868703241,1.559122142282402,1.4381042714695604,1.559122142282402,1.559122142282402,1.5801685901899418,2020-05-21
1.3535932030071576,0.08444221174684097,1.1997899681579054,1.2196878527016917,1.4962393735269908,1.3516443020428142,1.4962393735269908,1.4962393735269908,1.521142508666349,2020-05-22
1.520384369389324,0.0921033513388547,1.3631212173674738,1.3814979793158544,1.6823154061542194,1.5143504870320028,1.6823154061542194,1.6823154061542194,1.7121997474717932,2020-05-23
1.4577467727919422,0.09479437448929938,1.2884064432421252,1.309639961204294,1.618985556499186,1.4546427314181445,1.618985556499186,1.618985556499186,1.6472816278554878,2020-05-24
1.3210346902967582,0.08848415183206748,1.1687086370143827,1.1860251322946878,1.4733344936555135,1.316720202986188,1.4733344936555135,1.4733344936555135,1.4985148331608713,2020-05-25
1.2371332682930398,0.0729218885683587,1.1145340977767682,1.1285081044359035,1.3651256873312023,1.2313343398958265,1.3651256873312023,1.3651256873312023,1.3875849073676838,2020-05-26
1.2869989735128755,0.0622779026603275,1.1793404248448076,1.192855155439444,1.3954768496952559,1.2824255915759695,1.3954768496952559,1.3954768496952559,1.4141932602413823,2020-05-27
1.424995331910234,0.062072625446532755,1.3148196713895077,1.328946144438457,1.5312117058186336,1.4217092699111642,1.5312117058186336,1.5312117058186336,1.5489867658438996,2020-05-28
1.4462552008556184,0.0709403145570444,1.3143791914275873,1.3315372990730674,1.56186342888387,1.4461919366271556,1.56186342888387,1.56186342888387,1.579674391374224,2020-05-29
1.2657000834485232,0.07191212624265424,1.135246303823451,1.1509329231116243,1.3832701915078278,1.265448076028718,1.3832701915078278,1.3832701915078278,1.4006941175957848,2020-05-30
1.2612177600960568,0.0648500379551215,1.1510489035352744,1.1637434746988962,1.373023798309647,1.256710183264916,1.373023798309647,1.373023798309647,1.3909566621382443,2020-05-31
1.3054145655999494,0.05787670474573611,1.2059746416353438,1.2177626509087005,1.4051100535029883,1.3012479169309206,1.4051100535029883,1.4051100535029883,1.42142108257747,2020-06-01
1.2858759546688345,0.05520181859839601,1.1877835402056256,1.1999631933850212,1.3789931701065163,1.2835416994388336,1.3789931701065163,1.3789931701065163,1.3939147398672962,2020-06-02
1.1339102317636058,0.049047610828970786,1.046097011906937,1.0571556039230552,1.2163286039527315,1.1321353570757544,1.2163286039527315,1.2163286039527315,1.229358058705909,2020-06-03
1.295312861723809,0.04669332129981478,1.2119922117221937,1.2228769474380896,1.3749422897110515,1.2928589565415232,1.3749422897110515,1.3749422897110515,1.388459753896627,2020-06-04
1.3247844540034608,0.04775923479381003,1.2375304899304436,1.249180803040095,1.404733972046094,1.3233290059066083,1.404733972046094,1.404733972046094,1.4178171690551502,2020-06-05
1.5680595656994174,0.06345537900278243,1.4512707574261012,1.4654135593041953,1.6706588762189853,1.568498105085021,1.6706588762189853,1.6706588762189853,1.6855706592461297,2020-06-06
1.5525096003421017,0.08884482118967242,1.3795075784313369,1.4036071910547676,1.6904548441175087,1.5578013426021227,1.6904548441175087,1.6904548441175087,1.7074894623725585,2020-06-07
1.5375995300039558,0.10585544194980458,1.3526468550328798,1.3729714937366841,1.7143768576297467,1.5375232075505036,1.7143768576297467,1.7143768576297467,1.738764652730742,2020-06-08
1.5113061188861165,0.1073281057923507,1.3337555828242404,1.3514835754818746,1.697447563371641,1.5067472526278354,1.697447563371641,1.697447563371641,1.7265327803347428,2020-06-09
1.516936857547056,0.10407514632617468,1.3488661143693899,1.3645435892729068,1.6977808752755392,1.511213952859997,1.6977808752755392,1.6977808752755392,1.7271918499783685,2020-06-10
1.3630132277252558,0.09066282735548176,1.2146731726724884,1.2286677058483737,1.5189921562902033,1.3585555764934683,1.5189921562902033,1.5189921562902033,1.542203282791799,2020-06-11
1.3380755594519385,0.07727223002939651,1.2172798240371059,1.2272564168130473,1.4728969841955855,1.3313513923804878,1.4728969841955855,1.4728969841955855,1.4925704190931741,2020-06-12
1.1465796051929282,0.05703988841011089,1.0548659885317946,1.0632368158824685,1.2453224728868473,1.1416595582451028,1.2453224728868473,1.2453224728868473,1.258130837072166,2020-06-13
1.0204310809215111,0.03968370682198213,0.9530473378585952,0.9610021533578749,1.089373413156983,1.016859937054941,1.089373413156983,1.089373413156983,1.0990022727058766,2020-06-14
0.9432069959635809,0.029834814411434974,0.8875752610214448,0.8952331476424933,0.9930516568906139,0.9427055605186372,0.9930516568906139,0.9930516568906139,1.0017061398496498,2020-06-15
1.0028274362020368,0.032139568379753375,0.9441218610372218,0.9515875036154201,1.0564947495534174,1.0019121695300242,1.0564947495534174,1.0564947495534174,1.0649279051291718,2020-06-16
0.9856469536631556,0.028801084760949915,0.9292868283573918,0.9374244487189297,1.0320973577645514,0.9862071699544426,1.0320973577645514,1.0320973577645514,1.0398908427812332,2020-06-17
0.8652498443768215,0.022106982756546736,0.821448189677372,0.8286464359045411,0.9015402393019245,0.8653258295061914,0.9015402393019245,0.9015402393019245,0.9081282781509853,2020-06-18
0.84382084515586,0.024462819095052938,0.7993717188033151,0.8056815243476411,0.8862644226882728,0.842594587140717,0.8862644226882728,0.8862644226882728,0.894839944249095,2020-06-19
0.898849013355258,0.030332962723888683,0.8438254704002768,0.8511920703415358,0.9511532192146992,0.8974633714051112,0.9511532192146992,0.9511532192146992,0.9610757834246513,2020-06-20
0.944114548371357,0.029427889777296736,0.8862422376356427,0.8946076351340254,0.9915970133959854,0.9447932127752263,0.9915970133959854,0.9915970133959854,0.9999760720462311,2020-06-21
1.0583467108424118,0.025811432546635857,1.005292237317535,1.0137442100580079,1.0989595416298,1.0595283856036457,1.0989595416298,1.0989595416298,1.105837756743915,2020-06-22
1.0165334178637613,0.019221262389358833,0.9794720712569301,0.9853475163179939,1.0483996866480982,1.016264823635113,1.0483996866480982,1.0483996866480982,1.0549768141557538,2020-06-23
1.1205233928708542,0.020320983837052792,1.0821938070245718,1.0879623926584783,1.154885558839212,1.1199703634613525,1.154885558839212,1.154885558839212,1.1618365958935026,2020-06-24
1.2542404441437403,0.02617884036980638,1.2042468705832612,1.2119889797209231,1.2983280548684744,1.2536982515922583,1.2983280548684744,1.2983280548684744,1.3070120535184702,2020-06-25
1.3663639325165458,0.043656829741796584,1.27995311972286,1.2926973545713987,1.4370723308949795,1.367547832353201,1.4370723308949795,1.4370723308949795,1.4486008180325978,2020-06-26
1.1370372945336094,0.05307763664189157,1.0361903984416112,1.0500145332102706,1.2249605091947418,1.1380094944979686,1.2249605091947418,1.2249605091947418,1.238002907511703,2020-06-27
1.1650677938994844,0.04675568480628766,1.092462804623996,1.0997667638899409,1.2525397152341213,1.1594918772874674,1.2525397152341213,1.2525397152341213,1.2691627046904495,2020-06-28
1.1104875900913396,0.03466673382013773,1.053064446133501,1.0598216948245838,1.1726302579848038,1.107079110822505,1.1726302579848038,1.1726302579848038,1.185239630618784,2020-06-29
1.118360009532679,0.028278847082978075,1.068825465167738,1.0751196627765494,1.1674160781151501,1.1164804030764035,1.1674160781151501,1.1674160781151501,1.176140189651165,2020-06-30
0.926601907763068,0.021566368822278758,0.8870018014724715,0.8926368758946168,0.963218701730737,0.9257850272094799,0.963218701730737,0.963218701730737,0.9697033643675891,2020-07-01
