Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
3.1046606486942645,1.695595483047501,0.7755426220108463,0.9785068309894048,6.297758340317736,2.7916788536962205,6.297758340317736,6.297758340317736,7.194440903804362,2020-03-04
4.839758152442832,1.9606600884561882,1.854254466944687,2.1760072747785113,8.429675362023675,4.548976625806859,8.429675362023675,8.429675362023675,9.338853479191576,2020-03-05
5.8683962877290625,2.1891993693177523,2.4846123571338032,2.849656117674558,9.937190533755833,5.571463135349086,9.937190533755833,9.937190533755833,11.017498929849697,2020-03-06
4.694849291180013,1.9646976744610556,1.9254285149086834,2.179461968718054,8.511436534956564,4.310124795088919,8.511436534956564,8.511436534956564,9.427730730047452,2020-03-07
3.846112082759673,1.5990001166728565,1.6886642329369588,1.8854090674120676,7.0141158512316935,3.4960129106009927,7.0141158512316935,7.0141158512316935,7.832229976749521,2020-03-08
2.6770118596839283,1.0269884882782387,1.2535345537716318,1.3967225043691784,4.662901815878604,2.471907214414398,4.662901815878604,4.662901815878604,5.217339742868561,2020-03-09
2.3964208260225464,0.7481805503206672,1.265922796982792,1.3868423234378913,3.775289706748239,2.278932940588218,3.775289706748239,3.775289706748239,4.149311507783848,2020-03-10
2.9274621191897987,0.7101686642053341,1.8013902388495986,1.939844606633445,4.255610320643448,2.8269931813765443,4.255610320643448,4.255610320643448,4.559108810908769,2020-03-11
3.061245902339248,0.6920334995483239,1.9090663884394634,2.045422160150214,4.296962074944872,2.9840014443090745,4.296962074944872,4.296962074944872,4.558713224875745,2020-03-12
2.988361217254305,0.6944561263695436,1.8753296386015446,2.0015342470245665,4.265947561810929,2.8943628623745616,4.265947561810929,4.265947561810929,4.524432196111297,2020-03-13
2.5938271249516838,0.6228294277659941,1.6201496442441599,1.7227669683141147,3.7558294082320165,2.5024635400755777,3.7558294082320165,3.7558294082320165,4.002268968215202,2020-03-14
4.576128041210114,0.9280941635965648,3.1770366194504973,3.308311405917835,6.316994746456682,4.428865285552861,6.316994746456682,6.316994746456682,6.617461625917909,2020-03-15
3.7483334394237815,0.9372373161552052,2.253207087550795,2.3915684555127057,5.433818328958478,3.628967350427031,5.433818328958478,5.433818328958478,5.722613565896328,2020-03-16
2.7935750361713705,0.7737388281262331,1.7046965497562103,1.7921789027343797,4.2681128499679195,2.630576914436233,4.2681128499679195,4.2681128499679195,4.53439209316275,2020-03-17
2.985915987149429,0.7043205049745623,2.043264559452245,2.1198711115688775,4.343229536441239,2.8234639575623777,4.343229536441239,4.343229536441239,4.631727167414141,2020-03-18
2.63728889514951,0.54349825171446,1.8389872005978585,1.9160168895477723,3.654344545266016,2.538696923799394,3.654344545266016,3.654344545266016,3.8499321885441584,2020-03-19
2.8407672217452635,0.5323883919716376,2.0550732601451154,2.125870531688805,3.816375884095259,2.7549656598428047,3.816375884095259,3.816375884095259,3.9690038074256004,2020-03-20
